"","county","precinct","office","district","party","candidate","votes"
"1","Franklin","ANTIOCH","US Senator",NA,"Democrat","BOWLIN, BILL",13
"2","Franklin","ANTIOCH","US Senator",NA,"Democrat","FLEMING, ERIK",21
"3","Franklin","ANTIOCH","US Senator",NA,"Democrat","O'KEEFE, JAMES",4
"4","Franklin","ANTIOCH","US Senator",NA,"Democrat","STARR, CATHERINE M.",6
"5","Franklin","BAD BAYOU","US Senator",NA,"Democrat","BOWLIN, BILL",4
"6","Franklin","BAD BAYOU","US Senator",NA,"Democrat","FLEMING, ERIK",5
"7","Franklin","BAD BAYOU","US Senator",NA,"Democrat","O'KEEFE, JAMES",0
"8","Franklin","BAD BAYOU","US Senator",NA,"Democrat","STARR, CATHERINE M.",0
"9","Franklin","BUDE","US Senator",NA,"Democrat","BOWLIN, BILL",22
"10","Franklin","BUDE","US Senator",NA,"Democrat","FLEMING, ERIK",31
"11","Franklin","BUDE","US Senator",NA,"Democrat","O'KEEFE, JAMES",15
"12","Franklin","BUDE","US Senator",NA,"Democrat","STARR, CATHERINE M.",4
"13","Franklin","CAINS","US Senator",NA,"Democrat","BOWLIN, BILL",4
"14","Franklin","CAINS","US Senator",NA,"Democrat","FLEMING, ERIK",8
"15","Franklin","CAINS","US Senator",NA,"Democrat","O'KEEFE, JAMES",3
"16","Franklin","CAINS","US Senator",NA,"Democrat","STARR, CATHERINE M.",1
"17","Franklin","EDDICETON","US Senator",NA,"Democrat","BOWLIN, BILL",7
"18","Franklin","EDDICETON","US Senator",NA,"Democrat","FLEMING, ERIK",7
"19","Franklin","EDDICETON","US Senator",NA,"Democrat","O'KEEFE, JAMES",4
"20","Franklin","EDDICETON","US Senator",NA,"Democrat","STARR, CATHERINE M.",1
"21","Franklin","HAMBURG","US Senator",NA,"Democrat","BOWLIN, BILL",9
"22","Franklin","HAMBURG","US Senator",NA,"Democrat","FLEMING, ERIK",25
"23","Franklin","HAMBURG","US Senator",NA,"Democrat","O'KEEFE, JAMES",5
"24","Franklin","HAMBURG","US Senator",NA,"Democrat","STARR, CATHERINE M.",5
"25","Franklin","INDEPENDENCE","US Senator",NA,"Democrat","BOWLIN, BILL",0
"26","Franklin","INDEPENDENCE","US Senator",NA,"Democrat","FLEMING, ERIK",0
"27","Franklin","INDEPENDENCE","US Senator",NA,"Democrat","O'KEEFE, JAMES",0
"28","Franklin","INDEPENDENCE","US Senator",NA,"Democrat","STARR, CATHERINE M.",0
"29","Franklin","KNOXVILLE","US Senator",NA,"Democrat","BOWLIN, BILL",4
"30","Franklin","KNOXVILLE","US Senator",NA,"Democrat","FLEMING, ERIK",20
"31","Franklin","KNOXVILLE","US Senator",NA,"Democrat","O'KEEFE, JAMES",4
"32","Franklin","KNOXVILLE","US Senator",NA,"Democrat","STARR, CATHERINE M.",0
"33","Franklin","LUCIEN","US Senator",NA,"Democrat","BOWLIN, BILL",2
"34","Franklin","LUCIEN","US Senator",NA,"Democrat","FLEMING, ERIK",3
"35","Franklin","LUCIEN","US Senator",NA,"Democrat","O'KEEFE, JAMES",2
"36","Franklin","LUCIEN","US Senator",NA,"Democrat","STARR, CATHERINE M.",2
"37","Franklin","MCCALL","US Senator",NA,"Democrat","BOWLIN, BILL",2
"38","Franklin","MCCALL","US Senator",NA,"Democrat","FLEMING, ERIK",6
"39","Franklin","MCCALL","US Senator",NA,"Democrat","O'KEEFE, JAMES",5
"40","Franklin","MCCALL","US Senator",NA,"Democrat","STARR, CATHERINE M.",3
"41","Franklin","MEADVILLE","US Senator",NA,"Democrat","BOWLIN, BILL",8
"42","Franklin","MEADVILLE","US Senator",NA,"Democrat","FLEMING, ERIK",4
"43","Franklin","MEADVILLE","US Senator",NA,"Democrat","O'KEEFE, JAMES",3
"44","Franklin","MEADVILLE","US Senator",NA,"Democrat","STARR, CATHERINE M.",6
"45","Franklin","PINE GROVE","US Senator",NA,"Democrat","BOWLIN, BILL",0
"46","Franklin","PINE GROVE","US Senator",NA,"Democrat","FLEMING, ERIK",2
"47","Franklin","PINE GROVE","US Senator",NA,"Democrat","O'KEEFE, JAMES",1
"48","Franklin","PINE GROVE","US Senator",NA,"Democrat","STARR, CATHERINE M.",1
"49","Franklin","ROXIE","US Senator",NA,"Democrat","BOWLIN, BILL",15
"50","Franklin","ROXIE","US Senator",NA,"Democrat","FLEMING, ERIK",54
"51","Franklin","ROXIE","US Senator",NA,"Democrat","O'KEEFE, JAMES",3
"52","Franklin","ROXIE","US Senator",NA,"Democrat","STARR, CATHERINE M.",3
"53","Franklin","WESLEY CHAPEL","US Senator",NA,"Democrat","BOWLIN, BILL",3
"54","Franklin","WESLEY CHAPEL","US Senator",NA,"Democrat","FLEMING, ERIK",6
"55","Franklin","WESLEY CHAPEL","US Senator",NA,"Democrat","O'KEEFE, JAMES",4
"56","Franklin","WESLEY CHAPEL","US Senator",NA,"Democrat","STARR, CATHERINE M.",4
"57","Franklin","WHITTINGTON","US Senator",NA,"Democrat","BOWLIN, BILL",3
"58","Franklin","WHITTINGTON","US Senator",NA,"Democrat","FLEMING, ERIK",4
"59","Franklin","WHITTINGTON","US Senator",NA,"Democrat","O'KEEFE, JAMES",6
"60","Franklin","WHITTINGTON","US Senator",NA,"Democrat","STARR, CATHERINE M.",1
