page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Jones,Lamar School,406,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Jones,Lamar School,292,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Jones,Lamar School,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Jones,Lamar School,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Jones,Lamar School,1,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Jones,Lamar School,2,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Jones,Lamar School,0,
2,Thad Cochran,US Senate,,Republican,Jones,Lamar School,461,
2,Erik R. Fleming,US Senate,,Democrat,Jones,Lamar School,219,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Jones,Lamar School,260,
2,Roger Wicker,US Senate for Unexpired Term,,,Jones,Lamar School,417,
2,Joel L. Gill,US House,3,Democrat,Jones,Lamar School,x,
2,Gregg Harper,US House,3,Republican,Jones,Lamar School,x,
2,John McCay III,US House,4,Republican,Jones,Lamar School,234,
2,Gene Taylor,US House,4,Democrat,Jones,Lamar School,452,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Jones,Mason School,1178,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Jones,Mason School,335,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Jones,Mason School,0,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Jones,Mason School,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Jones,Mason School,1,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Jones,Mason School,4,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Jones,Mason School,0,
2,Thad Cochran,US Senate,,Republican,Jones,Mason School,1249,
2,Erik R. Fleming,US Senate,,Democrat,Jones,Mason School,243,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Jones,Mason School,405,
2,Roger Wicker,US Senate for Unexpired Term,,,Jones,Mason School,1081,
2,Joel L. Gill,US House,3,Democrat,Jones,Mason School,x,
2,Gregg Harper,US House,3,Republican,Jones,Mason School,x,
2,John McCay III,US House,4,Republican,Jones,Mason School,566,
2,Gene Taylor,US House,4,Democrat,Jones,Mason School,946,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Jones,Shady Grove,1523,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Jones,Shady Grove,550,
