page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,101-One,1291,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,101-One,436,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,101-One,3,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,101-One,9,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,101-One,1,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,101-One,3,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,101-One,0,
2,Thad Cochran,US Senate,,Republican,Lauderdale,101-One,1393,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,101-One,316,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,101-One,447,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,101-One,1256,
2,Joel L. Gill,US House,3,Democrat,Lauderdale,101-One,330,
2,Gregg Harper,US House,3,Republican,Lauderdale,101-One,1378,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,105-Five,1045,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,105-Five,565,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,105-Five,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,105-Five,1,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,105-Five,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,105-Five,3,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,105-Five,0,
2,Thad Cochran,US Senate,,Republican,Lauderdale,105-Five,1146,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,105-Five,430,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,105-Five,510,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,105-Five,1064,
2,Joel L. Gill,US House,3,Democrat,Lauderdale,105-Five,447,
2,Gregg Harper,US House,3,Republican,Lauderdale,105-Five,1133,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,126-Andrews Chapel,545,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,126-Andrews Chapel,162,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,126-Andrews Chapel,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,126-Andrews Chapel,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,126-Andrews Chapel,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,126-Andrews Chapel,2,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,126-Andrews Chapel,0,
2,Thad Cochran,US Senate,,Republican,Lauderdale,126-Andrews Chapel,568,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,126-Andrews Chapel,124,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,126-Andrews Chapel,171,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,126-Andrews Chapel,522,
2,Joel L. Gill,US House,3,Democrat,Lauderdale,126-Andrews Chapel,132,
2,Gregg Harper,US House,3,Republican,Lauderdale,126-Andrews Chapel,567,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,127- Bailey,804,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,127- Bailey,309,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,127- Bailey,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,127- Bailey,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,127- Bailey,1,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,127- Bailey,1,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,127- Bailey,0,
2,Thad Cochran,US Senate,,Republican,Lauderdale,127- Bailey,844,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,127- Bailey,248,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,127- Bailey,330,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,127- Bailey,757,
2,Joel L. Gill,US House,3,Democrat,Lauderdale,127- Bailey,275,
2,Gregg Harper,US House,3,Republican,Lauderdale,127- Bailey,824,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,142-Marion,168,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,142-Marion,242,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,142-Marion,3,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,142-Marion,0,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,142-Marion,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,142-Marion,1,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,142-Marion,0,
2,Thad Cochran,US Senate,,Republican,Lauderdale,142-Marion,179,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,142-Marion,216,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,142-Marion,234,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,142-Marion,159,
2,Joel L. Gill,US House,3,Democrat,Lauderdale,142-Marion,209,
2,Gregg Harper,US House,3,Republican,Lauderdale,142-Marion,182,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Lauderdale,146-New Lauderdale,1098,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Lauderdale,146-New Lauderdale,221,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Lauderdale,146-New Lauderdale,3,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Lauderdale,146-New Lauderdale,3,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Lauderdale,146-New Lauderdale,1,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Lauderdale,146-New Lauderdale,4,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Lauderdale,146-New Lauderdale,1,
2,Thad Cochran,US Senate,,Republican,Lauderdale,146-New Lauderdale,1135,
2,Erik R. Fleming,US Senate,,Democrat,Lauderdale,146-New Lauderdale,165,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Lauderdale,146-New Lauderdale,235,
2,Roger Wicker,US Senate for Unexpired Term,,,Lauderdale,146-New Lauderdale,1042,
