page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain,President,,Republican,Sharkey ,Rolling Fork First District,351,
2,Barack Obama,President,,Democrat,Sharkey ,Rolling Fork First District,276,
2,Chuck Baldwin,President,,Constitution,Sharkey ,Rolling Fork First District,1,
2,Bob Barr,President,,Libertarian,Sharkey ,Rolling Fork First District,0,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Rolling Fork First District,0,
2,Ralph Nader,President,,Independent,Sharkey ,Rolling Fork First District,1,
2,Ted C. Weill,President,,Reform,Sharkey ,Rolling Fork First District,1,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Rolling Fork First District,371,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Rolling Fork First District,233,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork First District,291,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork First District,322,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Rolling Fork First District,288,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Rolling Fork First District,318,
2,John McCain,President,,Republican,Sharkey ,Spanish Fort First District,43,
2,Barack Obama,President,,Democrat,Sharkey ,Spanish Fort First District,13,
2,Chuck Baldwin,President,,Constitution,Sharkey ,Spanish Fort First District,1,
2,Bob Barr,President,,Libertarian,Sharkey ,Spanish Fort First District,0,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Spanish Fort First District,0,
2,Ralph Nader,President,,Independent,Sharkey ,Spanish Fort First District,1,
2,Ted C. Weill,President,,Reform,Sharkey ,Spanish Fort First District,0,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Spanish Fort First District,45,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Spanish Fort First District,10,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Spanish Fort First District,13,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Spanish Fort First District,42,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Spanish Fort First District,36,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Spanish Fort First District,20,
2,John McCain,President,,Republican,Sharkey ,Cary Second District,108,
2,Barack Obama,President,,Democrat,Sharkey ,Cary Second District,290,
2,Chuck Baldwin,President,,Constitution,Sharkey ,Cary Second District,2,
2,Bob Barr,President,,Libertarian,Sharkey ,Cary Second District,0,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Cary Second District,0,
2,Ralph Nader,President,,Independent,Sharkey ,Cary Second District,0,
2,Ted C. Weill,President,,Reform,Sharkey ,Cary Second District,0,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Cary Second District,118,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Cary Second District,268,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Cary Second District,273,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Cary Second District,115,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Cary Second District,81,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Cary Second District,312,
2,John McCain,President,,Republican,Sharkey ,Rolling Fork Second District,0,
2,Barack Obama,President,,Democrat,Sharkey ,Rolling Fork Second District,42,
2,Chuck Baldwin,President,,Constitution,Sharkey ,Rolling Fork Second District,0,
2,Bob Barr,President,,Libertarian,Sharkey ,Rolling Fork Second District,0,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Rolling Fork Second District,0,
2,Ralph Nader,President,,Independent,Sharkey ,Rolling Fork Second District,0,
2,Ted C. Weill,President,,Reform,Sharkey ,Rolling Fork Second District,0,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Rolling Fork Second District,3,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Rolling Fork Second District,35,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork Second District,37,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork Second District,3,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Rolling Fork Second District,0,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Rolling Fork Second District,41,
2,John McCain,President,,Republican,Sharkey ,Rolling Fork Third District,28,
2,Barack Obama,President,,Democrat,Sharkey ,Rolling Fork Third District,499,
2,Chuck Baldwin,President,,Constitution,Sharkey ,Rolling Fork Third District,3,
2,Bob Barr,President,,Libertarian,Sharkey ,Rolling Fork Third District,2,
2,Cynthia A. McKinney,President,,Green,Sharkey ,Rolling Fork Third District,0,
2,Ralph Nader,President,,Independent,Sharkey ,Rolling Fork Third District,1,
2,Ted C. Weill,President,,Reform,Sharkey ,Rolling Fork Third District,0,
2,Thad Cochran,U.S. Senate,,Republican,Sharkey ,Rolling Fork Third District,55,
2,Erik R. Fleming,U.S. Senate,,Democrat,Sharkey ,Rolling Fork Third District,418,
2,Ronnie Musgrove,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork Third District,426,
2,Roger Wicker,U.S. Senate,Unexpired Term,,Sharkey ,Rolling Fork Third District,78,
2,Richard Cook,U.S. House,2,Republican,Sharkey ,Rolling Fork Third District,31,
2,Bennie G. Thompson,U.S. House,2,Democrat,Sharkey ,Rolling Fork Third District,467,
2,John McCain,President,,Republican,Sharkey ,Anguilla Fourth District ,194,
2,Barack Obama,President,,Democrat,Sharkey ,Anguilla Fourth District ,243,
