page,candidate,office,district,party,county,precinct,votes,winner
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Wayne,Waynesboro City 1,10,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Wayne,Waynesboro City 1,549,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Wayne,Waynesboro City 1,0,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Wayne,Waynesboro City 1,0,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Wayne,Waynesboro City 1,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Wayne,Waynesboro City 1,1,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Wayne,Waynesboro City 1,1,
2,Thad Cochran,US Senate,,Republican,Wayne,Waynesboro City 1,40,
2,Erik R. Fleming,US Senate,,Democrat,Wayne,Waynesboro City 1,505,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Wayne,Waynesboro City 1,483,
2,Roger Wicker,US Senate for Unexpired Term,,,Wayne,Waynesboro City 1,58,
2,John McCay III,US House,4,Republican,Wayne,Waynesboro City 1,11,
2,Gene Taylor,US House,4,Democrat,Wayne,Waynesboro City 1,543,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Wayne,Waynesboro City 2,405,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Wayne,Waynesboro City 2,380,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Wayne,Waynesboro City 2,1,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Wayne,Waynesboro City 2,2,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Wayne,Waynesboro City 2,2,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Wayne,Waynesboro City 2,0,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Wayne,Waynesboro City 2,0,
2,Thad Cochran,US Senate,,Republican,Wayne,Waynesboro City 2,447,
2,Erik R. Fleming,US Senate,,Democrat,Wayne,Waynesboro City 2,312,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Wayne,Waynesboro City 2,377,
2,Roger Wicker,US Senate for Unexpired Term,,,Wayne,Waynesboro City 2,387,
2,John McCay III,US House,4,Republican,Wayne,Waynesboro City 2,156,
2,Gene Taylor,US House,4,Democrat,Wayne,Waynesboro City 2,629,
2,John McCain for President and Sarah - Palin for Vice President,US President and Vice President,,Republican,Wayne,Waynesboro City 3,691,
2,Barack Obama for President and Joe - Biden for Vice President,US President and Vice President,,Democrat,Wayne,Waynesboro City 3,271,
2,Chuck Baldwin for President and Darrell - L. Castle for Vice President,US President and Vice President,,Constitution,Wayne,Waynesboro City 3,2,
2,Bob Barr for President and Wayne A. - Root for Vice President,US President and Vice President,,Libertarian,Wayne,Waynesboro City 3,1,
2,Cynthia A. McKinney for President and Rosa Clemente for Vice President,US President and Vice President,,Green,Wayne,Waynesboro City 3,0,
2,Ralph Nader for President and Matt Gonzalez for Vice President,US President and Vice President,,Independent,Wayne,Waynesboro City 3,4,
2,Ted C. Weill for President and Frank McEnulty for Vice President,US President and Vice President,,Reform,Wayne,Waynesboro City 3,0,
2,Thad Cochran,US Senate,,Republican,Wayne,Waynesboro City 3,707,
2,Erik R. Fleming,US Senate,,Democrat,Wayne,Waynesboro City 3,238,
2,Ronnie Musgrove,US Senate for Unexpired Term,,,Wayne,Waynesboro City 3,339,
2,Roger Wicker,US Senate for Unexpired Term,,,Wayne,Waynesboro City 3,601,
2,John McCay III,US House,4,Republican,Wayne,Waynesboro City 3,232,
2,Gene Taylor,US House,4,Democrat,Wayne,Waynesboro City 3,729,
