page,candidate,office,district,party,county,precinct,votes,winner
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Granby 11,50,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Granby 11,53,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Granby 11,0,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,South Prentiss 12,145,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,South Prentiss 12,338,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,South Prentiss 12,6,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,South Prentiss 13,189,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,South Prentiss 13,124,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,South Prentiss 13,3,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Bournham 21,0,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Bournham 21,0,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Bournham 21,0,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Carson 22,48,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Carson 22,139,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Carson 22,2,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Green's Creek 23,70,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Green's Creek 23,163,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Green's Creek 23,1,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Hathorn 24,47,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Hathorn 24,90,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Hathorn 24,0,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Son's Academy 25,103,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Son's Academy 25,45,
2,Tracella Lou O'Hara Hill ,US House,3,Reform,Jefferson Davis,Son's Academy 25,1,
2,Joel L. Gill,US House,3,Democrat,Jefferson Davis,Bassfield 25,134,
2,Gregg Harper,US House,3,Republican,Jefferson Davis,Bassfield 25,137,
