page,candidate,office,district,party,county,precinct,votes,winner
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 1,49,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 1,15,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 2,77,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 2,71,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 3,55,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 3,159,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 4,27,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 4,340,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 5,83,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 5,74,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 6,39,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 6,84,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 7,151,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 7,86,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 8,297,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 8,102,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi Central,154,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi Central,72,
2,Phil Bryant ,Governor ,,R,Harrison,Biloxi Bay,330,
2,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi Bay,172,
2,Phil Bryant ,Governor ,,R,Harrison,North Bay,1253,
2,Johnny L. DuPree,Governor ,,D,Harrison,North Bay,510,
3,Phil Bryant ,Governor ,,R,Harrison,White Plains,320,
3,Johnny L. DuPree,Governor ,,D,Harrison,White Plains,72,
3,Phil Bryant ,Governor ,,R,Harrison,Poplar Head,137,
3,Johnny L. DuPree,Governor ,,D,Harrison,Poplar Head,37,
3,Phil Bryant ,Governor ,,R,Harrison,D'Iberville,173,
3,Johnny L. DuPree,Governor ,,D,Harrison,D'Iberville,46,
3,Phil Bryant ,Governor ,,R,Harrison,Advance,438,
3,Johnny L. DuPree,Governor ,,D,Harrison,Advance,103,
3,Phil Bryant ,Governor ,,R,Harrison,East Lizana,495,
3,Johnny L. DuPree,Governor ,,D,Harrison,East Lizana,102,
3,Phil Bryant ,Governor ,,R,Harrison,East Lyman,424,
3,Johnny L. DuPree,Governor ,,D,Harrison,East Lyman,211,
3,Phil Bryant ,Governor ,,R,Harrison,E Orange Grove,788,
3,Johnny L. DuPree,Governor ,,D,Harrison,E Orange Grove,472,
3,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 4,144,
3,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 4,59,
3,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 5,299,
3,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 5,176,
3,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 7,215,
3,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 7,89,
3,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 11,306,
3,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 11,72,
4,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 12,709,
4,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 12,145,
4,Phil Bryant ,Governor ,,R,Harrison,West Lyman ,878,
4,Johnny L. DuPree,Governor ,,D,Harrison,West Lyman ,326,
4,Phil Bryant ,Governor ,,R,Harrison,West Orange Grove,1279,
4,Johnny L. DuPree,Governor ,,D,Harrison,West Orange Grove,511,
4,Phil Bryant ,Governor ,,R,Harrison,Riceville,96,
4,Johnny L. DuPree,Governor ,,D,Harrison,Riceville,15,
4,Phil Bryant ,Governor ,,R,Harrison,Stonewall,636,
4,Johnny L. DuPree,Governor ,,D,Harrison,Stonewall,246,
4,Phil Bryant ,Governor ,,R,Harrison,West Handsboro,764,
4,Johnny L. DuPree,Governor ,,D,Harrison,West Handsboro,212,
4,Phil Bryant ,Governor ,,R,Harrison,West Miss City,190,
4,Johnny L. DuPree,Governor ,,D,Harrison,West Miss City,63,
4,Phil Bryant ,Governor ,,R,Harrison,Delisle,396,
4,Johnny L. DuPree,Governor ,,D,Harrison,Delisle,318,
4,Phil Bryant ,Governor ,,R,Harrison,E Pass Christian,410,
4,Johnny L. DuPree,Governor ,,D,Harrison,E Pass Christian,479,
4,Phil Bryant ,Governor ,,R,Harrison,Westside,199,
4,Johnny L. DuPree,Governor ,,D,Harrison,Westside,148,
4,Phil Bryant ,Governor ,,R,Harrison,W Pass Christian,396,
4,Johnny L. DuPree,Governor ,,D,Harrison,W Pass Christian,225,
5,Phil Bryant ,Governor ,,R,Harrison,Ladner,450,
5,Johnny L. DuPree,Governor ,,D,Harrison,Ladner,106,
5,Phil Bryant ,Governor ,,R,Harrison,West Lizana,261,
5,Johnny L. DuPree,Governor ,,D,Harrison,West Lizana,66,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 1,278,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 1,134,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 2,434,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 2,127,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 3,408,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 3,134,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 4,542,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 4,208,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 5,947,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 5,250,
5,Phil Bryant ,Governor ,,R,Harrison,Long Beach # 6,505,
5,Johnny L. DuPree,Governor ,,D,Harrison,Long Beach # 6,143,
5,Phil Bryant ,Governor ,,R,Harrison,Outside Long Beach,203,
5,Johnny L. DuPree,Governor ,,D,Harrison,Outside Long Beach,40,
5,Phil Bryant ,Governor ,,R,Harrison,Pineville,684,
5,Johnny L. DuPree,Governor ,,D,Harrison,Pineville,201,
5,Phil Bryant ,Governor ,,R,Harrison,Vidalia,212,
5,Johnny L. DuPree,Governor ,,D,Harrison,Vidalia,43,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 3,52,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 3,244,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 8,118,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 8,274,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 9,31,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 9,44,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 13,70,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 13,363,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 14,56,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 14,629,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 16,56,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 16,415,
6,Phil Bryant ,Governor ,,R,Harrison,East North Gulfport,13,
6,Johnny L. DuPree,Governor ,,D,Harrison,East North Gulfport,436,
6,Phil Bryant ,Governor ,,R,Harrison,Gulfport # 15,61,
6,Johnny L. DuPree,Governor ,,D,Harrison,Gulfport # 15,110,
6,Phil Bryant ,Governor ,,R,Harrison,North Bel-Aire,649,
6,Johnny L. DuPree,Governor ,,D,Harrison,North Bel-Aire,744,
6,Phil Bryant ,Governor ,,R,Harrison,South Bel-Aire,343,
6,Johnny L. DuPree,Governor ,,D,Harrison,South Bel-Aire,416,
6,Phil Bryant ,Governor ,,R,Harrison,West North Gpt,9,
6,Johnny L. DuPree,Governor ,,D,Harrison,West North Gpt,687,
7,Phil Bryant ,Governor ,,R,Harrison,Magnolia Grove,33,
7,Johnny L. DuPree,Governor ,,D,Harrison,Magnolia Grove,197,
7,Phil Bryant ,Governor ,,R,Harrison,New Hope,200,
7,Johnny L. DuPree,Governor ,,D,Harrison,New Hope,105,
7,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 10,603,
7,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 10,311,
7,Phil Bryant ,Governor ,,R,Harrison,Biloxi # 11,1022,
7,Johnny L. DuPree,Governor ,,D,Harrison,Biloxi # 11,488,
7,Phil Bryant ,Governor ,,R,Harrison,East Handsboro,503,
7,Johnny L. DuPree,Governor ,,D,Harrison,East Handsboro,226,
7,Phil Bryant ,Governor ,,R,Harrison,East Miss City,763,
7,Johnny L. DuPree,Governor ,,D,Harrison,East Miss City,385,
7,Phil Bryant ,Governor ,,R,Harrison,Howard Creek,865,
7,Johnny L. DuPree,Governor ,,D,Harrison,Howard Creek,233,
7,Phil Bryant ,Governor ,,R,Harrison,Saucier,513,
7,Johnny L. DuPree,Governor ,,D,Harrison,Saucier,124,
7,Phil Bryant ,Governor ,,R,Harrison,Peace,746,
7,Johnny L. DuPree,Governor ,,D,Harrison,Peace,142,
7,Phil Bryant ,Governor ,,R,Harrison,New Popps Ferry,699,
7,Johnny L. DuPree,Governor ,,D,Harrison,New Popps Ferry,289,
7,Phil Bryant ,Governor ,,R,Harrison,Margaret Sherry,952,
7,Johnny L. DuPree,Governor ,,D,Harrison,Margaret Sherry,414,
8,Phil Bryant ,Governor ,,R,Harrison,Invalid Addresses 9999,0,
8,Johnny L. DuPree,Governor ,,D,Harrison,Invalid Addresses 9999,0,
8,Phil Bryant ,Governor ,,R,Harrison,TOTAL ,25488,
8,Johnny L. DuPree,Governor ,,D,Harrison,TOTAL ,14540,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 1,55,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 1,9,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 2,89,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 2,26,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 3,82,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 3,57,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 4,100,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 4,131,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 5,113,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 5,25,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 6,57,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 6,37,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 7,173,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 7,40,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi # 8,314,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi # 8,65,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi Central,178,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi Central,31,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,Biloxi Bay,376,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Biloxi Bay,92,
2,Tate Reeves,Lieutenant Governor,,R,Harrison,North Bay,1376,
2,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,North Bay,283,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,White Plains,346,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,White Plains,35,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,Poplar Head,157,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Poplar Head,12,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,D'Iberville,186,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,D'Iberville,23,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,Advance,472,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Advance,54,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,East Lizana,530,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,East Lizana,49,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,East Lyman,512,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,East Lyman,81,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,E Orange Grove,934,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,E Orange Grove,222,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,Gulfport # 4,173,
3,Tracella Lou O'Hara Hill ,Lieutenant Governor,,Reform ,Harrison,Gulfport # 4,24,
3,Tate Reeves,Lieutenant Governor,,R,Harrison,Gulfport # 5,352,
