page,candidate,office,district,party,county,precinct,votes,winner
2,"William Bond Compton, Jr.",Governor,,D,Winston,Fairground,96,
2,Johnny L. DuPree,Governor,,D,Winston,Fairground,226,
2,Bill Luckett,Governor,,D,Winston,Fairground,485,
2,Guy Dale Shaw,Governor,,D,Winston,Fairground,125,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Nanih Waiya,102,
2,Johnny L. DuPree,Governor,,D,Winston,Nanih Waiya,128,
2,Bill Luckett,Governor,,D,Winston,Nanih Waiya,410,
2,Guy Dale Shaw,Governor,,D,Winston,Nanih Waiya,77,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Lovorn Tractor,31,
2,Johnny L. DuPree,Governor,,D,Winston,Lovorn Tractor,114,
2,Bill Luckett,Governor,,D,Winston,Lovorn Tractor,117,
2,Guy Dale Shaw,Governor,,D,Winston,Lovorn Tractor,22,
2,"William Bond Compton, Jr.",Governor,,D,Winston,American Legion,69,
2,Johnny L. DuPree,Governor,,D,Winston,American Legion,282,
2,Bill Luckett,Governor,,D,Winston,American Legion,105,
2,Guy Dale Shaw,Governor,,D,Winston,American Legion,19,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Zion Ridge,43,
2,Johnny L. DuPree,Governor,,D,Winston,Zion Ridge,188,
2,Bill Luckett,Governor,,D,Winston,Zion Ridge,96,
2,Guy Dale Shaw,Governor,,D,Winston,Zion Ridge,21,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Shiloh,15,
2,Johnny L. DuPree,Governor,,D,Winston,Shiloh,69,
2,Bill Luckett,Governor,,D,Winston,Shiloh,164,
2,Guy Dale Shaw,Governor,,D,Winston,Shiloh,37,
2,"William Bond Compton, Jr.",Governor,,D,Winston,County Agent,70,
2,Johnny L. DuPree,Governor,,D,Winston,County Agent,344,
2,Bill Luckett,Governor,,D,Winston,County Agent,135,
2,Guy Dale Shaw,Governor,,D,Winston,County Agent,24,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Mars Hill,48,
2,Johnny L. DuPree,Governor,,D,Winston,Mars Hill,80,
2,Bill Luckett,Governor,,D,Winston,Mars Hill,136,
2,Guy Dale Shaw,Governor,,D,Winston,Mars Hill,37,
2,"William Bond Compton, Jr.",Governor,,D,Winston,Noxapater,42,
2,Johnny L. DuPree,Governor,,D,Winston,Noxapater,106,
2,Bill Luckett,Governor,,D,Winston,Noxapater,191,
2,Guy Dale Shaw,Governor,,D,Winston,Noxapater,32,
2,"William Bond Compton, Jr.",Governor,,D,Winston,New National Guard,28,
2,Johnny L. DuPree,Governor,,D,Winston,New National Guard,67,
2,Bill Luckett,Governor,,D,Winston,New National Guard,125,
2,Guy Dale Shaw,Governor,,D,Winston,New National Guard,22,
2,"William Bond Compton, Jr.",Governor,,D,Winston,East Winston,23,
2,Johnny L. DuPree,Governor,,D,Winston,East Winston,110,
2,Bill Luckett,Governor,,D,Winston,East Winston,196,
2,Guy Dale Shaw,Governor,,D,Winston,East Winston,35,
3,"William Bond Compton, Jr.",Governor,,D,Winston,Mill Creek,60,
3,Johnny L. DuPree,Governor,,D,Winston,Mill Creek,217,
3,Bill Luckett,Governor,,D,Winston,Mill Creek,352,
3,Guy Dale Shaw,Governor,,D,Winston,Mill Creek,68,
3,"William Bond Compton, Jr.",Governor,,D,Winston,TOTAL,627,
3,Johnny L. DuPree,Governor,,D,Winston,TOTAL,1931,
3,Bill Luckett,Governor,,D,Winston,TOTAL,2512,
3,Guy Dale Shaw,Governor,,D,Winston,TOTAL,519,
2,Jim Hood,Attorney General,,D,Winston,Fairground,935,
2,Jim Hood,Attorney General,,D,Winston,Nanih Waiya,708,
2,Jim Hood,Attorney General,,D,Winston,Lovorn Tractor,282,
2,Jim Hood,Attorney General,,D,Winston,American Legion,447,
2,Jim Hood,Attorney General,,D,Winston,Zion Ridge,325,
2,Jim Hood,Attorney General,,D,Winston,Shiloh,295,
2,Jim Hood,Attorney General,,D,Winston,County Agent,540,
2,Jim Hood,Attorney General,,D,Winston,Mars Hill,294,
2,Jim Hood,Attorney General,,D,Winston,Noxapater,377,
2,Jim Hood,Attorney General,,D,Winston,New National Guard,238,
2,Jim Hood,Attorney General,,D,Winston,East Winston,366,
3,Jim Hood,Attorney General,,D,Winston,Mill Creek,690,
3,Jim Hood,Attorney General,,D,Winston,TOTAL,5497,
