county,precinct,office,district,candidate,party,votes,winner
Jasper,Beat 1 Antioch 2 Judicial,Attorney General,,Jim Hood,D,128,
Jasper,Beat 1 Antioch 2 Judicial,Attorney General,,Steve Simpson,R,114,
Jasper,Beat 1 Holders - Waldrup 1,Attorney General,,Jim Hood,D,134,
Jasper,Beat 1 Holders - Waldrup 1,Attorney General,,Steve Simpson,R,12,
Jasper,Beat 1 Holders - Waldrup 2,Attorney General,,Jim Hood,D,225,
Jasper,Beat 1 Holders - Waldrup 2,Attorney General,,Steve Simpson,R,118,
Jasper,Moss First,Attorney General,,Jim Hood,D,28,
Jasper,Moss First,Attorney General,,Steve Simpson,R,8,
Jasper,Moss Second,Attorney General,,Jim Hood,D,318,
Jasper,Moss Second,Attorney General,,Steve Simpson,R,221,
Jasper,Palestine,Attorney General,,Jim Hood,D,54,
Jasper,Palestine,Attorney General,,Steve Simpson,R,5,
Jasper,Paulding,Attorney General,,Jim Hood,D,491,
Jasper,Paulding,Attorney General,,Steve Simpson,R,105,
Jasper,Fellowship,Attorney General,,Jim Hood,D,40,
Jasper,Fellowship,Attorney General,,Steve Simpson,R,32,
Jasper,Midway,Attorney General,,Jim Hood,D,171,
Jasper,Midway,Attorney General,,Steve Simpson,R,56,
Jasper,Rose Hill,Attorney General,,Jim Hood,D,222,
Jasper,Rose Hill,Attorney General,,Steve Simpson,R,96,
Jasper,Vossburg,Attorney General,,Jim Hood,D,226,
Jasper,Vossburg,Attorney General,,Steve Simpson,R,40,
Jasper,Bay Springs Beat 3,Attorney General,,Jim Hood,D,411,
Jasper,Bay Springs Beat 3,Attorney General,,Steve Simpson,R,163,
Jasper,Louin,Attorney General,,Jim Hood,D,323,
Jasper,Louin,Attorney General,,Steve Simpson,R,110,
Jasper,Montrose,Attorney General,,Jim Hood,D,164,
Jasper,Montrose,Attorney General,,Steve Simpson,R,72,
Jasper,Bay Springs Beat 4,Attorney General,,Jim Hood,D,497,
Jasper,Bay Springs Beat 4,Attorney General,,Steve Simpson,R,165,
Jasper,Stringer,Attorney General,,Jim Hood,D,379,
Jasper,Stringer,Attorney General,,Steve Simpson,R,351,
Jasper,Heidelberg Beat 5,Attorney General,,Jim Hood,D,664,
Jasper,Heidelberg Beat 5,Attorney General,,Steve Simpson,R,89,
Jasper,Claiborne,Attorney General,,Jim Hood,D,178,
Jasper,Claiborne,Attorney General,,Steve Simpson,R,68,
Jasper,Philadelphia,Attorney General,,Jim Hood,D,210,
Jasper,Philadelphia,Attorney General,,Steve Simpson,R,33,
Jasper,Beat 1 Antioch 2 Judicial,Commissioner of Agriculture & Commerce,,Joel Gill,D,45,
Jasper,Beat 1 Antioch 2 Judicial,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,189,
Jasper,Beat 1 Antioch 2 Judicial,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,7,
Jasper,Beat 1 Holders - Waldrup 1,Commissioner of Agriculture & Commerce,,Joel Gill,D,117,
Jasper,Beat 1 Holders - Waldrup 1,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,20,
Jasper,Beat 1 Holders - Waldrup 1,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,5,
Jasper,Beat 1 Holders - Waldrup 2,Commissioner of Agriculture & Commerce,,Joel Gill,D,153,
Jasper,Beat 1 Holders - Waldrup 2,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,177,
Jasper,Beat 1 Holders - Waldrup 2,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,8,
Jasper,Moss First,Commissioner of Agriculture & Commerce,,Joel Gill,D,4,
Jasper,Moss First,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,31,
Jasper,Moss First,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,1,
Jasper,Moss Second,Commissioner of Agriculture & Commerce,,Joel Gill,D,176,
Jasper,Moss Second,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,353,
Jasper,Moss Second,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,10,
Jasper,Palestine,Commissioner of Agriculture & Commerce,,Joel Gill,D,44,
Jasper,Palestine,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,12,
Jasper,Palestine,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,1,
Jasper,Paulding,Commissioner of Agriculture & Commerce,,Joel Gill,D,422,
Jasper,Paulding,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,156,
Jasper,Paulding,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,17,
Jasper,Fellowship,Commissioner of Agriculture & Commerce,,Joel Gill,D,24,
Jasper,Fellowship,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,49,
Jasper,Fellowship,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0,
Jasper,Midway,Commissioner of Agriculture & Commerce,,Joel Gill,D,141,
Jasper,Midway,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,73,
Jasper,Midway,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,12,
Jasper,Rose Hill,Commissioner of Agriculture & Commerce,,Joel Gill,D,172,
Jasper,Rose Hill,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,137,
Jasper,Rose Hill,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,7,
Jasper,Vossburg,Commissioner of Agriculture & Commerce,,Joel Gill,D,206,
Jasper,Vossburg,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,50,
Jasper,Vossburg,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,8,
Jasper,Bay Springs Beat 3,Commissioner of Agriculture & Commerce,,Joel Gill,D,297,
Jasper,Bay Springs Beat 3,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,262,
Jasper,Bay Springs Beat 3,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,8,
Jasper,Louin,Commissioner of Agriculture & Commerce,,Joel Gill,D,236,
Jasper,Louin,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,R,192,
Jasper,Louin,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,3,
