candidate,office,district,county,precinct,votes,winner
Jeramey Anderson,State House,110,Jackson,Fair,57,
Tyres Autrey,State House,110,Jackson,Fair,48,
Mitch Ellerby,State House,110,Jackson,Fair,32,
Aneice R. Liddell,State House,110,Jackson,Fair,44,
Anne A. McMillion,State House,110,Jackson,Fair,4,
Jeramey Anderson,State House,110,Jackson,Jefferson Street,207,
Tyres Autrey,State House,110,Jackson,Jefferson Street,35,
Mitch Ellerby,State House,110,Jackson,Jefferson Street,107,
Aneice R. Liddell,State House,110,Jackson,Jefferson Street,156,
Anne A. McMillion,State House,110,Jackson,Jefferson Street,8,
Jeramey Anderson,State House,110,Jackson,Orange Grove,5,
Tyres Autrey,State House,110,Jackson,Orange Grove,2,
Mitch Ellerby,State House,110,Jackson,Orange Grove,6,
Aneice R. Liddell,State House,110,Jackson,Orange Grove,3,
Anne A. McMillion,State House,110,Jackson,Orange Grove,0,
Jeramey Anderson,State House,110,Jackson,Rec Center,415,
Tyres Autrey,State House,110,Jackson,Rec Center,73,
Mitch Ellerby,State House,110,Jackson,Rec Center,190,
Aneice R. Liddell,State House,110,Jackson,Rec Center,336,
Anne A. McMillion,State House,110,Jackson,Rec Center,22,
Jeramey Anderson,State House,110,Jackson,YMBC-Dantzler,242,
Tyres Autrey,State House,110,Jackson,YMBC-Dantzler,28,
Mitch Ellerby,State House,110,Jackson,YMBC-Dantzler,77,
Aneice R. Liddell,State House,110,Jackson,YMBC-Dantzler,131,
Anne A. McMillion,State House,110,Jackson,YMBC-Dantzler,11,
Jeramey Anderson,State House,110,Jackson,,926,1
Tyres Autrey,State House,110,Jackson,,186,
Mitch Ellerby,State House,110,Jackson,,412,
Aneice R. Liddell,State House,110,Jackson,,670,1
Anne A. McMillion,State House,110,Jackson,,45,
