candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Tate,Arkabutla,20,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Arkabutla,3,
Bill Marcy,U.S. Senate,,Democrat,Tate,Arkabutla,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Arkabutla,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Arkabutla,15,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Arkabutla,5,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Coldwater 3,116,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Coldwater 3,11,
Bill Marcy,U.S. Senate,,Democrat,Tate,Coldwater 3,6,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Coldwater 3,4,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Coldwater 3,81,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Coldwater 3,35,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Evansville,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Evansville,1,
Bill Marcy,U.S. Senate,,Democrat,Tate,Evansville,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Evansville,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Evansville,6,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Evansville,1,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Independence,62,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Independence,5,
Bill Marcy,U.S. Senate,,Democrat,Tate,Independence,8,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Independence,1,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Independence,41,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Independence,23,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Looxahoma,41,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Looxahoma,1,
Bill Marcy,U.S. Senate,,Democrat,Tate,Looxahoma,4,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Looxahoma,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Looxahoma,23,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Looxahoma,15,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Palestine,1,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Palestine,0,
Bill Marcy,U.S. Senate,,Democrat,Tate,Palestine,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Palestine,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Palestine,1,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Palestine,1,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Poagville 4,7,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Poagville 4,0,
Bill Marcy,U.S. Senate,,Democrat,Tate,Poagville 4,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Poagville 4,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Poagville 4,5,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Poagville 4,2,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Poagville 5,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Poagville 5,1,
Bill Marcy,U.S. Senate,,Democrat,Tate,Poagville 5,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Poagville 5,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Poagville 5,10,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Poagville 5,0,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Sarah,2,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Sarah,0,
Bill Marcy,U.S. Senate,,Democrat,Tate,Sarah,0,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Sarah,0,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Sarah,2,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Sarah,0,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Senatobia 1,46,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Senatobia 1,6,
Bill Marcy,U.S. Senate,,Democrat,Tate,Senatobia 1,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Senatobia 1,2,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Senatobia 1,33,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Senatobia 1,16,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Senatobia 2,24,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Senatobia 2,2,
Bill Marcy,U.S. Senate,,Democrat,Tate,Senatobia 2,2,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Senatobia 2,1,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Senatobia 2,17,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Senatobia 2,7,
Travis W. Childers,U.S. Senate,,Democrat,Tate,Senatobia 3,43,
William Bond Compton Jr.,U.S. Senate,,Democrat,Tate,Senatobia 3,3,
Bill Marcy,U.S. Senate,,Democrat,Tate,Senatobia 3,1,
Jonathan Rawl,U.S. Senate,,Democrat,Tate,Senatobia 3,1,
Ron E. Dickey,U.S. House,1,Democrat,Tate,Senatobia 3,32,
Rex N. Weathers,U.S. House,1,Democrat,Tate,Senatobia 3,7,
