candidate,office,district,party,county,precinct,votes,winner
Thomas L. Carey,U.S. Senate,,Republican,Warren,3-61,1,
Thad Cochran,U.S. Senate,,Republican,Warren,3-61,24,
Chris McDaniel,U.S. Senate,,Republican,Warren,3-61,9,
Thomas L. Carey,U.S. Senate,,Republican,Warren,American Legion Post,1,
Thad Cochran,U.S. Senate,,Republican,Warren,American Legion Post,84,
Chris McDaniel,U.S. Senate,,Republican,Warren,American Legion Post,36,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Auditorium,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Auditorium,30,
Chris McDaniel,U.S. Senate,,Republican,Warren,Auditorium,13,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Beechwood,3,
Thad Cochran,U.S. Senate,,Republican,Warren,Beechwood,290,
Chris McDaniel,U.S. Senate,,Republican,Warren,Beechwood,193,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Bovina,2,
Thad Cochran,U.S. Senate,,Republican,Warren,Bovina,129,
Chris McDaniel,U.S. Senate,,Republican,Warren,Bovina,191,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Brunswick,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Brunswick,52,
Chris McDaniel,U.S. Senate,,Republican,Warren,Brunswick,56,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Cedar Grove,1,
Thad Cochran,U.S. Senate,,Republican,Warren,Cedar Grove,47,
Chris McDaniel,U.S. Senate,,Republican,Warren,Cedar Grove,49,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Culkin,2,
Thad Cochran,U.S. Senate,,Republican,Warren,Culkin,530,
Chris McDaniel,U.S. Senate,,Republican,Warren,Culkin,507,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Elks Lodge,1,
Thad Cochran,U.S. Senate,,Republican,Warren,Elks Lodge,189,
Chris McDaniel,U.S. Senate,,Republican,Warren,Elks Lodge,114,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Goodrum,3,
Thad Cochran,U.S. Senate,,Republican,Warren,Goodrum,139,
Chris McDaniel,U.S. Senate,,Republican,Warren,Goodrum,88,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Jett,6,
Thad Cochran,U.S. Senate,,Republican,Warren,Jett,91,
Chris McDaniel,U.S. Senate,,Republican,Warren,Jett,60,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Kings,1,
Thad Cochran,U.S. Senate,,Republican,Warren,Kings,31,
Chris McDaniel,U.S. Senate,,Republican,Warren,Kings,39,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Moose Lodge,3,
Thad Cochran,U.S. Senate,,Republican,Warren,Moose Lodge,164,
Chris McDaniel,U.S. Senate,,Republican,Warren,Moose Lodge,184,
Thomas L. Carey,U.S. Senate,,Republican,Warren,No. 7 Fire Station,0,
Thad Cochran,U.S. Senate,,Republican,Warren,No. 7 Fire Station,60,
Chris McDaniel,U.S. Senate,,Republican,Warren,No. 7 Fire Station,36,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Oak Ridge,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Oak Ridge,19,
Chris McDaniel,U.S. Senate,,Republican,Warren,Oak Ridge,16,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Plumbers & Pipefitters,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Plumbers & Pipefitters,185,
Chris McDaniel,U.S. Senate,,Republican,Warren,Plumbers & Pipefitters,83,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Redwood,1,
Thad Cochran,U.S. Senate,,Republican,Warren,Redwood,26,
Chris McDaniel,U.S. Senate,,Republican,Warren,Redwood,31,
Thomas L. Carey,U.S. Senate,,Republican,Warren,St. Aloysius,0,
Thad Cochran,U.S. Senate,,Republican,Warren,St. Aloysius,2,
Chris McDaniel,U.S. Senate,,Republican,Warren,St. Aloysius,2,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Tingleville,1,
Thad Cochran,U.S. Senate,,Republican,Warren,Tingleville,89,
Chris McDaniel,U.S. Senate,,Republican,Warren,Tingleville,101,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Vicksburg Junior High School,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Vicksburg Junior High School,124,
Chris McDaniel,U.S. Senate,,Republican,Warren,Vicksburg Junior High School,58,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Ymca,0,
Thad Cochran,U.S. Senate,,Republican,Warren,Ymca,80,
Chris McDaniel,U.S. Senate,,Republican,Warren,Ymca,72,
Thomas L. Carey,U.S. Senate,,Republican,Warren,Yokena,2,
Thad Cochran,U.S. Senate,,Republican,Warren,Yokena,67,
Chris McDaniel,U.S. Senate,,Republican,Warren,Yokena,80,
Thomas L. Carey,U.S. Senate,,Republican,Warren,,28,
Thad Cochran,U.S. Senate,,Republican,Warren,,2452,TRUE
Chris McDaniel,U.S. Senate,,Republican,Warren,,2018,
