candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Leake,Conway,20,
Chris McDaniel,U.S. Senate,,Republican,Leake,Conway,16,
Thad Cochran,U.S. Senate,,Republican,Leake,East Carthage,135,
Chris McDaniel,U.S. Senate,,Republican,Leake,East Carthage,96,
Thad Cochran,U.S. Senate,,Republican,Leake,Edinburg,63,
Chris McDaniel,U.S. Senate,,Republican,Leake,Edinburg,78,
Thad Cochran,U.S. Senate,,Republican,Leake,Freeny,93,
Chris McDaniel,U.S. Senate,,Republican,Leake,Freeny,58,
Thad Cochran,U.S. Senate,,Republican,Leake,Good Hope,61,
Chris McDaniel,U.S. Senate,,Republican,Leake,Good Hope,88,
Thad Cochran,U.S. Senate,,Republican,Leake,Harmony,9,
Chris McDaniel,U.S. Senate,,Republican,Leake,Harmony,14,
Thad Cochran,U.S. Senate,,Republican,Leake,Lena,49,
Chris McDaniel,U.S. Senate,,Republican,Leake,Lena,32,
Thad Cochran,U.S. Senate,,Republican,Leake,Madden,70,
Chris McDaniel,U.S. Senate,,Republican,Leake,Madden,58,
Thad Cochran,U.S. Senate,,Republican,Leake,North Carthage,153,
Chris McDaniel,U.S. Senate,,Republican,Leake,North Carthage,87,
Thad Cochran,U.S. Senate,,Republican,Leake,Ofahoma,22,
Chris McDaniel,U.S. Senate,,Republican,Leake,Ofahoma,7,
Thad Cochran,U.S. Senate,,Republican,Leake,Renfroe,53,
Chris McDaniel,U.S. Senate,,Republican,Leake,Renfroe,53,
Thad Cochran,U.S. Senate,,Republican,Leake,Salem,54,
Chris McDaniel,U.S. Senate,,Republican,Leake,Salem,63,
Thad Cochran,U.S. Senate,,Republican,Leake,Singleton,50,
Chris McDaniel,U.S. Senate,,Republican,Leake,Singleton,88,
Thad Cochran,U.S. Senate,,Republican,Leake,South Carthage,30,
Chris McDaniel,U.S. Senate,,Republican,Leake,South Carthage,49,
Thad Cochran,U.S. Senate,,Republican,Leake,Sunrise,48,
Chris McDaniel,U.S. Senate,,Republican,Leake,Sunrise,58,
Thad Cochran,U.S. Senate,,Republican,Leake,Thomastown,19,
Chris McDaniel,U.S. Senate,,Republican,Leake,Thomastown,55,
Thad Cochran,U.S. Senate,,Republican,Leake,Walnut Grove,62,
Chris McDaniel,U.S. Senate,,Republican,Leake,Walnut Grove,39,
Thad Cochran,U.S. Senate,,Republican,Leake,West Carthage,36,
Chris McDaniel,U.S. Senate,,Republican,Leake,West Carthage,24,
Thad Cochran,U.S. Senate,,Republican,Leake,Wiggins,32,
Chris McDaniel,U.S. Senate,,Republican,Leake,Wiggins,18,
Thad Cochran,U.S. Senate,,Republican,Leake,,1059,TRUE
Chris McDaniel,U.S. Senate,,Republican,Leake,,981,
