candidate,office,district,party,county,precinct,votes,winner
Thad Cochran,U.S. Senate,,Republican,Lamar,Arnold Line,173,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Arnold Line,254,
Thad Cochran,U.S. Senate,,Republican,Lamar,Baxterville,42,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Baxterville,113,
Thad Cochran,U.S. Senate,,Republican,Lamar,Breland,478,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Breland,467,
Thad Cochran,U.S. Senate,,Republican,Lamar,Greenville,80,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Greenville,221,
Thad Cochran,U.S. Senate,,Republican,Lamar,Kingsmill,455,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Kingsmill,328,
Thad Cochran,U.S. Senate,,Republican,Lamar,Lake Serene,581,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Lake Serene,649,
Thad Cochran,U.S. Senate,,Republican,Lamar,Lamar Park,240,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Lamar Park,273,
Thad Cochran,U.S. Senate,,Republican,Lamar,Lumberton,128,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Lumberton,186,
Thad Cochran,U.S. Senate,,Republican,Lamar,Midway,148,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Midway,404,
Thad Cochran,U.S. Senate,,Republican,Lamar,Northeast Lamar,203,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Northeast Lamar,189,
Thad Cochran,U.S. Senate,,Republican,Lamar,Oak Grove,344,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Oak Grove,498,
Thad Cochran,U.S. Senate,,Republican,Lamar,Okahola,66,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Okahola,143,
Thad Cochran,U.S. Senate,,Republican,Lamar,Oloh,81,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Oloh,188,
Thad Cochran,U.S. Senate,,Republican,Lamar,Pine Grove,71,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Pine Grove,148,
Thad Cochran,U.S. Senate,,Republican,Lamar,Purvis,236,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Purvis,450,
Thad Cochran,U.S. Senate,,Republican,Lamar,Richburg,339,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Richburg,379,
Thad Cochran,U.S. Senate,,Republican,Lamar,Rocky Branch,70,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Rocky Branch,172,
Thad Cochran,U.S. Senate,,Republican,Lamar,South Purvis,218,
Chris McDaniel,U.S. Senate,,Republican,Lamar,South Purvis,471,
Thad Cochran,U.S. Senate,,Republican,Lamar,Sumrall,304,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Sumrall,689,
Thad Cochran,U.S. Senate,,Republican,Lamar,Wesley Manor,187,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Wesley Manor,149,
Thad Cochran,U.S. Senate,,Republican,Lamar,Yawn,27,
Chris McDaniel,U.S. Senate,,Republican,Lamar,Yawn,80,
Thad Cochran,U.S. Senate,,Republican,Lamar,,4471,
Chris McDaniel,U.S. Senate,,Republican,Lamar,,6451,TRUE
