candidate,office,district,party,county,precinct,votes,winner,page
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,101 - One,175,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,101 - One,720,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,101 - One,8,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,101 - One,744,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,101 - One,147,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,101 - One,11,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,101 - One,5,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,105 - Five,171,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,105 - Five,666,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,105 - Five,4,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,105 - Five,657,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,105 - Five,155,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,105 - Five,4,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,105 - Five,8,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,126 - Andrews Chapel,60,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,126 - Andrews Chapel,307,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,126 - Andrews Chapel,5,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,126 - Andrews Chapel,312,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,126 - Andrews Chapel,49,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,126 - Andrews Chapel,6,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,126 - Andrews Chapel,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,127 - Bailey,110,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,127 - Bailey,502,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,127 - Bailey,10,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,127 - Bailey,508,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,127 - Bailey,93,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,127 - Bailey,19,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,127 - Bailey,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,146 - New Lauderdale,83,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,146 - New Lauderdale,604,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,146 - New Lauderdale,13,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,146 - New Lauderdale,625,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,146 - New Lauderdale,63,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,146 - New Lauderdale,8,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,146 - New Lauderdale,3,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,153 - Prospect,18,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,153 - Prospect,185,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,153 - Prospect,5,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,153 - Prospect,186,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,153 - Prospect,17,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,153 - Prospect,6,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,153 - Prospect,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,175 - West Dalewood,8,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,175 - West Dalewood,73,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,175 - West Dalewood,0,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,175 - West Dalewood,76,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,175 - West Dalewood,5,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,175 - West Dalewood,0,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,175 - West Dalewood,0,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,202 - Two,25,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,202 - Two,105,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,202 - Two,1,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,202 - Two,107,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,202 - Two,20,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,202 - Two,1,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,202 - Two,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,204 - Four,115,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,204 - Four,57,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,204 - Four,5,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,204 - Four,54,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,204 - Four,111,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,204 - Four,1,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,204 - Four,2,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,206 - Six,336,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,206 - Six,128,,2
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,206 - Six,2,,2
Gregg Harper,U.S. House,3,Republican,Lauderdale,206 - Six,123,,2
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,206 - Six,313,,2
Roger Gerrard,U.S. House,3,Independent,Lauderdale,206 - Six,8,,2
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,206 - Six,4,,2
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,214 - Fourteen,121,,2
Thad Cochran,U.S. Senate,,Republican,Lauderdale,214 - Fourteen,28,,2
