candidate,office,district,party,county,precinct,votes,winner
Travis W. Childers,U.S. Senate,,Democrat,Webster,Bellefontaine,9,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Bellefontaine,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Bellefontaine,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Bellefontaine,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Bellefontaine,3,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Bellefontaine,5,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Big Black,6,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Big Black,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Big Black,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Big Black,1,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Big Black,3,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Big Black,1,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Bluff Springs,18,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Bluff Springs,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Bluff Springs,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Bluff Springs,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Bluff Springs,10,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Bluff Springs,4,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Cadaretta,8,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Cadaretta,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Cadaretta,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Cadaretta,1,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Cadaretta,5,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Cadaretta,3,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Clarkson,4,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Clarkson,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Clarkson,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Clarkson,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Clarkson,3,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Clarkson,0,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Cumberland,12,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Cumberland,1,
Bill Marcy,U.S. Senate,,Democrat,Webster,Cumberland,1,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Cumberland,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Cumberland,8,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Cumberland,5,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Eupora No. 1,88,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Eupora No. 1,4,
Bill Marcy,U.S. Senate,,Democrat,Webster,Eupora No. 1,5,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Eupora No. 1,3,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Eupora No. 1,59,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Eupora No. 1,26,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Eupora No. 2,5,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Eupora No. 2,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Eupora No. 2,3,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Eupora No. 2,0,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Eupora No. 2,3,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Eupora No. 2,2,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Eupora No. 3,10,
William Bond Compton Jr.,U.S. Senate,,Democrat,Webster,Eupora No. 3,0,
Bill Marcy,U.S. Senate,,Democrat,Webster,Eupora No. 3,0,
Jonathan Rawl,U.S. Senate,,Democrat,Webster,Eupora No. 3,1,
Ron E. Dickey,U.S. House,1,Democrat,Webster,Eupora No. 3,6,
Rex N. Weathers,U.S. House,1,Democrat,Webster,Eupora No. 3,4,
Travis W. Childers,U.S. Senate,,Democrat,Webster,Fame,15,
