county,precinct,office,district,candidate,party,total
Panola,Batesville 3,Governor,,Phil  Bryant,Republican,414
Panola,Batesville 3,Governor,,Robert  Gray,Democrat,82
Panola,Batesville 3,Governor,,Shawn  O'Hara,Reform,5
Panola,Batesville 3,Lieutenant Governor,,Tim  Johnson,Democrat,101
Panola,Batesville 3,Lieutenant Governor,,Tate  Reeves,Republican,367
Panola,Batesville 3,Lieutenant Governor,,Ron  Williams,Libertarian,11
Panola,Batesville 3,Lieutenant Governor,,Rosa  B.  Williams,Reform,10
Panola,Batesville 3,Secretary of State,,Charles  E.  Graham,Democrat,125
Panola,Batesville 3,Secretary of State,,Delbert  Hosemann,Republican,335
Panola,Batesville 3,Secretary of State,,Randy  Walker,Reform,15
Panola,Batesville 3,Attorney General,,Jim  Hood,Democrat,236
Panola,Batesville 3,Attorney General,,Mike  Hurst,Republican,252
Panola,Batesville 3,State Auditor,,Stacey  E.  Pickering,Republican,376
Panola,Batesville 3,State Auditor,,Jocelyn Pepper Pritchett,Democrat,97
Panola,Batesville 3,State Auditor,,Lajena  Walley,Reform,11
Panola,Batesville 3,State Treasurer,,Lynn Fitch,Republican,398
Panola,Batesville 3,State Treasurer,,Viola McFarland,Reform,60
Panola,Batesville 3,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,106
Panola,Batesville 3,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,349
Panola,Batesville 3,Commissioner of Agriculture & Commerce,,Cathy L Toole,Reform,16
Panola,Batesville 3,Commissioner of Insurance,,Mike Chaney,Republican,443
Panola,Batesville 3,State Senate,9,Cristen Hemming,Democrat,133
Panola,Batesville 3,State Senate,9,Gray Tollison,Republican,344
Panola,Batesville 3,State House,11,Lataisha Jackson,Democrat,374
Panola,Cold Springs,Governor,,Phil  Bryant,Republican,78
Panola,Cold Springs,Governor,,Robert  Gray,Democrat,108
Panola,Cold Springs,Governor,,Shawn  O'Hara,Reform,1
Panola,Cold Springs,Lieutenant Governor,,Tim  Johnson,Democrat,125
Panola,Cold Springs,Lieutenant Governor,,Tate  Reeves,Republican,55
Panola,Cold Springs,Lieutenant Governor,,Ron  Williams,Libertarian,3
Panola,Cold Springs,Lieutenant Governor,,Rosa  B.  Williams,Reform,1
Panola,Cold Springs,Secretary of State,,Charles  E.  Graham,Democrat,138
Panola,Cold Springs,Secretary of State,,Delbert  Hosemann,Republican,46
Panola,Cold Springs,Secretary of State,,Randy  Walker,Reform,5
Panola,Cold Springs,Attorney General,,Jim  Hood,Democrat,151
Panola,Cold Springs,Attorney General,,Mike  Hurst,Republican,35
Panola,Cold Springs,State Auditor,,Stacey  E.  Pickering,Republican,56
Panola,Cold Springs,State Auditor,,Jocelyn Pepper Pritchett,Democrat,123
Panola,Cold Springs,State Auditor,,Lajena  Walley,Reform,2
Panola,Cold Springs,State Treasurer,,Lynn Fitch,Republican,85
Panola,Cold Springs,State Treasurer,,Viola McFarland,Reform,68
Panola,Cold Springs,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,129
