page,candidate,office,district,party,county,precinct,votes,winner
2,Phil Bryant,Governor,,R,Warren,3-61,31,
2,Mitch Young,Governor,,R,Warren,3-61,1,
2,Phil Bryant,Governor,,R,Warren,American Legion Post,98,
2,Mitch Young,Governor,,R,Warren,American Legion Post,18,
2,Phil Bryant,Governor,,R,Warren,Auditorium,35,
2,Mitch Young,Governor,,R,Warren,Auditorium,6,
2,Phil Bryant,Governor,,R,Warren,Beechwood,510,
2,Mitch Young,Governor,,R,Warren,Beechwood,22,
2,Phil Bryant,Governor,,R,Warren,Bovina,359,
2,Mitch Young,Governor,,R,Warren,Bovina,9,
2,Phil Bryant,Governor,,R,Warren,Brunswick,84,
2,Mitch Young,Governor,,R,Warren,Brunswick,1,
2,Phil Bryant,Governor,,R,Warren,Cedar Grove,82,
2,Mitch Young,Governor,,R,Warren,Cedar Grove,2,
2,Phil Bryant,Governor,,R,Warren,Culkin,1141,
2,Mitch Young,Governor,,R,Warren,Culkin,44,
2,Phil Bryant,Governor,,R,Warren,Elks Lodge,293,
2,Mitch Young,Governor,,R,Warren,Elks Lodge,9,
2,Phil Bryant,Governor,,R,Warren,Goodrum,295,
2,Mitch Young,Governor,,R,Warren,Goodrum,9,
2,Phil Bryant,Governor,,R,Warren,Jett,195,
2,Mitch Young,Governor,,R,Warren,Jett,4,
3,Phil Bryant,Governor,,R,Warren,Kings,99,
3,Mitch Young,Governor,,R,Warren,Kings,5,
3,Phil Bryant,Governor,,R,Warren,Moose Lodge,321,
3,Mitch Young,Governor,,R,Warren,Moose Lodge,9,
3,Phil Bryant,Governor,,R,Warren,No. 7 Fire Station,96,
3,Mitch Young,Governor,,R,Warren,No. 7 Fire Station,10,
3,Phil Bryant,Governor,,R,Warren,Oak Ridge,51,
3,Mitch Young,Governor,,R,Warren,Oak Ridge,1,
3,Phil Bryant,Governor,,R,Warren,Plumbers & Pipefitters,274,
3,Mitch Young,Governor,,R,Warren,Plumbers & Pipefitters,16,
3,Phil Bryant,Governor,,R,Warren,Redwood,74,
3,Mitch Young,Governor,,R,Warren,Redwood,1,
3,Phil Bryant,Governor,,R,Warren,St Aloysius,3,
3,Mitch Young,Governor,,R,Warren,St Aloysius,0,
3,Phil Bryant,Governor,,R,Warren,Tingleville,180,
3,Mitch Young,Governor,,R,Warren,Tingleville,6,
3,Phil Bryant,Governor,,R,Warren,Vicksburg Junior High School,173,
3,Mitch Young,Governor,,R,Warren,Vicksburg Junior High School,7,
3,Phil Bryant,Governor,,R,Warren,Ymca,144,
3,Mitch Young,Governor,,R,Warren,Ymca,6,
3,Phil Bryant,Governor,,R,Warren,Yokena,193,
3,Mitch Young,Governor,,R,Warren,Yokena,10,
4,Phil Bryant,Governor,,R,Warren,TOTAL,4731,
4,Mitch Young,Governor,,R,Warren,TOTAL,196,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,3-61,3,
2,Tate Reeves,Lieutenant Governor,,R,Warren,3-61,28,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,American Legion Post,17,
2,Tate Reeves,Lieutenant Governor,,R,Warren,American Legion Post,96,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Auditorium,6,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Auditorium,36,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Beechwood,46,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Beechwood,480,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Bovina,38,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Bovina,330,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Brunswick,6,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Brunswick,77,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Cedar Grove,12,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Cedar Grove,68,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Culkin,104,
2,Tate Reeves,Lieutenant Governor,,R,Warren,Culkin,1067,
2,Alisha Nelson McElhenney,Lieutenant Governor,,R,Warren,Elks Lodge,29,
