county,precinct,office,district,party,candidate,votes
Hinds,32,State Senate,25,,Bill Billingsley,102
Hinds,32,State Senate,25,,Walter Michel,291
Hinds,33,State Senate,25,,Bill Billingsley,121
Hinds,33,State Senate,25,,Walter Michel,430
Hinds,34,State Senate,25,,Bill Billingsley,183
Hinds,34,State Senate,25,,Walter Michel,644
Hinds,35,State Senate,25,,Bill Billingsley,219
Hinds,35,State Senate,25,,Walter Michel,549
Hinds,36,State Senate,25,,Bill Billingsley,186
Hinds,36,State Senate,25,,Walter Michel,220
Hinds,44,State Senate,25,,Bill Billingsley,308
Hinds,44,State Senate,25,,Walter Michel,359
Hinds,45,State Senate,25,,Bill Billingsley,249
Hinds,45,State Senate,25,,Walter Michel,598
Hinds,46,State Senate,25,,Bill Billingsley,200
Hinds,46,State Senate,25,,Walter Michel,436
Hinds,78,State Senate,25,,Bill Billingsley,193
Hinds,78,State Senate,25,,Walter Michel,363
Hinds,,State Senate,25,,Bill Billingsley,1761
Hinds,,State Senate,25,,Walter Michel,3890
Madison,China Grove Church,State Senate,25,,Bill Billingsley,595
Madison,China Grove Church,State Senate,25,,Walter Michel,529
Madison,First Baptist Church of Madison,State Senate,25,,Bill Billingsley,818
Madison,First Baptist Church of Madison,State Senate,25,,Walter Michel,544
Madison,First Presbyterian Church of Madison,State Senate,25,,Bill Billingsley,594
Madison,First Presbyterian Church of Madison,State Senate,25,,Walter Michel,421
Madison,Gluckstadt at St. Joe Catholic,State Senate,25,,Bill Billingsley,860
Madison,Gluckstadt at St. Joe Catholic,State Senate,25,,Walter Michel,520
Madison,Highland Chapel,State Senate,25,,Bill Billingsley,936
Madison,Highland Chapel,State Senate,25,,Walter Michel,696
Madison,Highland Colony Baptist,State Senate,25,,Bill Billingsley,584
Madison,Highland Colony Baptist,State Senate,25,,Walter Michel,847
Madison,New Life,State Senate,25,,Bill Billingsley,547
Madison,New Life,State Senate,25,,Walter Michel,304
Madison,Northbay,State Senate,25,,Bill Billingsley,340
Madison,Northbay,State Senate,25,,Walter Michel,194
Madison,Ridgeland 1st Methodist Church,State Senate,25,,Bill Billingsley,412
Madison,Ridgeland 1st Methodist Church,State Senate,25,,Walter Michel,303
Madison,Ridgeland Recreation Center,State Senate,25,,Bill Billingsley,833
Madison,Ridgeland Recreation Center,State Senate,25,,Walter Michel,697
Madison,Sunnybrook,State Senate,25,,Bill Billingsley,182
Madison,Sunnybrook,State Senate,25,,Walter Michel,117
Madison,Trace Ridge Baptist Church,State Senate,25,,Bill Billingsley,457
Madison,Trace Ridge Baptist Church,State Senate,25,,Walter Michel,569
Madison,Victory Baptist,State Senate,25,,Bill Billingsley,453
Madison,Victory Baptist,State Senate,25,,Walter Michel,263
Madison,Victory Christian Community Church,State Senate,25,,Bill Billingsley,654
Madison,Victory Christian Community Church,State Senate,25,,Walter Michel,467
Madison,,State Senate,25,,Bill Billingsley,8265
Madison,,State Senate,25,,Walter Michel,6471
