county,precinct,office,district,party,candidate,votes
Lamar,Lumberton,State House,106,,John Glen Corley,77
Lamar,Yawn,State House,106,,John Glen Corley,17
Lamar,,State House,106,,John Glen Corley,94
Lamar,Lumberton,State House,106,,Greg Holcomb,212
Lamar,Yawn,State House,106,,Greg Holcomb,34
Lamar,,State House,106,,Greg Holcomb,246
Pearl River,Buck Branch Beat 2,State House,106,,John Glen Corley,51
Pearl River,Byrdline Beat 2,State House,106,,John Glen Corley,32
Pearl River,Carriere Beat 3,State House,106,,John Glen Corley,29
Pearl River,Carriere Beat 5,State House,106,,John Glen Corley,10
Pearl River,Derby Bt. 1,State House,106,,John Glen Corley,50
Pearl River,Ford’s Creek Beat 2,State House,106,,John Glen Corley,31
Pearl River,Gumpond Beat 3,State House,106,,John Glen Corley,105
Pearl River,Hickory Grove Beat 3,State House,106,,John Glen Corley,11
Pearl River,Mcneill Beat 3,State House,106,,John Glen Corley,65
Pearl River,Mill Creek Beat 2,State House,106,,John Glen Corley,44
Pearl River,Oak Hill Beat 2,State House,106,,John Glen Corley,126
Pearl River,Ozona Beat 3,State House,106,,John Glen Corley,42
Pearl River,Picayune Beat 2,State House,106,,John Glen Corley,25
Pearl River,Picayune Beat 5,State House,106,,John Glen Corley,0
Pearl River,Picayune Bt. 1 Eastside Annex,State House,106,,John Glen Corley,4
Pearl River,Poplarville Beat 1,State House,106,,John Glen Corley,55
Pearl River,Polarville Beat 2,State House,106,,John Glen Corley,110
Pearl River,Polarville Beat 3,State House,106,,John Glen Corley,80
Pearl River,Progress Beat 3,State House,106,,John Glen Corley,42
Pearl River,Savannah Beat 3,State House,106,,John Glen Corley,0
Pearl River,Whitesand Beat 2,State House,106,,John Glen Corley,41
Pearl River,Whitesand Bt 1,State House,106,,John Glen Corley,38
Pearl River,,State House,106,,John Glen Corley,991
Pearl River,Buck Branch Beat 2,State House,106,,Greg Holcomb,45
Pearl River,Byrdline Beat 2,State House,106,,Greg Holcomb,27
Pearl River,Carriere Beat 3,State House,106,,Greg Holcomb,10
Pearl River,Carriere Beat 5,State House,106,,Greg Holcomb,15
Pearl River,Derby Bt. 1,State House,106,,Greg Holcomb,36
Pearl River,Ford’s Creek Beat 2,State House,106,,Greg Holcomb,8
Pearl River,Gumpond Beat 3,State House,106,,Greg Holcomb,90
Pearl River,Hickory Grove Beat 3,State House,106,,Greg Holcomb,30
Pearl River,Mcneill Beat 3,State House,106,,Greg Holcomb,47
Pearl River,Mill Creek Beat 2,State House,106,,Greg Holcomb,22
Pearl River,Oak Hill Beat 2,State House,106,,Greg Holcomb,51
Pearl River,Ozona Beat 3,State House,106,,Greg Holcomb,20
Pearl River,Picayune Beat 2,State House,106,,Greg Holcomb,7
Pearl River,Picayune Beat 5,State House,106,,Greg Holcomb,0
Pearl River,Picayune Bt. 1 Eastside Annex,State House,106,,Greg Holcomb,8
Pearl River,Poplarville Beat 1,State House,106,,Greg Holcomb,56
Pearl River,Polarville Beat 2,State House,106,,Greg Holcomb,77
Pearl River,Polarville Beat 3,State House,106,,Greg Holcomb,72
Pearl River,Progress Beat 3,State House,106,,Greg Holcomb,16
Pearl River,Savannah Beat 3,State House,106,,Greg Holcomb,0
Pearl River,Whitesand Beat 2,State House,106,,Greg Holcomb,10
Pearl River,Whitesand Bt 1,State House,106,,Greg Holcomb,19
Pearl River,,State House,106,,Greg Holcomb,666
