county,precinct,office,district,party,candidate,votes
Bolivar,Benoit,President,,Republican,Jeb Bush,0
Bolivar,Benoit,President,,Republican,Ben Carson,2
Bolivar,Benoit,President,,Republican,Chris Christie,1
Bolivar,Benoit,President,,Republican,Ted Cruz,15
Bolivar,Benoit,President,,Republican,Carly Florina,0
Bolivar,Benoit,President,,Republican,Lindsey Graham,0
Bolivar,Benoit,President,,Republican,Mike Huckabee,0
Bolivar,Benoit,President,,Republican,John R. Kasich,4
Bolivar,Benoit,President,,Republican,George Pataki,0
Bolivar,Benoit,President,,Republican,Rand Paul,0
Bolivar,Benoit,President,,Republican,Marco Rubio,1
Bolivar,Benoit,President,,Republican,Rick Santorum,0
Bolivar,Benoit,President,,Republican,Donald J. Trump,30
Bolivar,Benoit,U.S. House,2,Republican,John Bouie II,32
Bolivar,Beulah,President,,Republican,Jeb Bush,0
Bolivar,Beulah,President,,Republican,Ben Carson,0
Bolivar,Beulah,President,,Republican,Chris Christie,0
Bolivar,Beulah,President,,Republican,Ted Cruz,0
Bolivar,Beulah,President,,Republican,Carly Florina,0
Bolivar,Beulah,President,,Republican,Lindsey Graham,0
Bolivar,Beulah,President,,Republican,Mike Huckabee,0
Bolivar,Beulah,President,,Republican,John R. Kasich,1
Bolivar,Beulah,President,,Republican,George Pataki,0
Bolivar,Beulah,President,,Republican,Rand Paul,0
Bolivar,Beulah,President,,Republican,Marco Rubio,0
Bolivar,Beulah,President,,Republican,Rick Santorum,0
Bolivar,Beulah,President,,Republican,Donald J. Trump,6
Bolivar,Beulah,U.S. House,2,Republican,John Bouie II,7
Bolivar,Boyle,President,,Republican,Jeb Bush,0
Bolivar,Boyle,President,,Republican,Ben Carson,2
Bolivar,Boyle,President,,Republican,Chris Christie,0
Bolivar,Boyle,President,,Republican,Ted Cruz,58
Bolivar,Boyle,President,,Republican,Carly Florina,0
Bolivar,Boyle,President,,Republican,Lindsey Graham,0
Bolivar,Boyle,President,,Republican,Mike Huckabee,0
Bolivar,Boyle,President,,Republican,John R. Kasich,32
Bolivar,Boyle,President,,Republican,George Pataki,1
Bolivar,Boyle,President,,Republican,Rand Paul,0
Bolivar,Boyle,President,,Republican,Marco Rubio,14
Bolivar,Boyle,President,,Republican,Rick Santorum,0
Bolivar,Boyle,President,,Republican,Donald J. Trump,169
Bolivar,Boyle,U.S. House,2,Republican,John Bouie II,192
Bolivar,Choctaw,President,,Republican,Jeb Bush,0
Bolivar,Choctaw,President,,Republican,Ben Carson,0
Bolivar,Choctaw,President,,Republican,Chris Christie,1
Bolivar,Choctaw,President,,Republican,Ted Cruz,4
Bolivar,Choctaw,President,,Republican,Carly Florina,0
Bolivar,Choctaw,President,,Republican,Lindsey Graham,0
Bolivar,Choctaw,President,,Republican,Mike Huckabee,0
Bolivar,Choctaw,President,,Republican,John R. Kasich,0
Bolivar,Choctaw,President,,Republican,George Pataki,0
Bolivar,Choctaw,President,,Republican,Rand Paul,0
Bolivar,Choctaw,President,,Republican,Marco Rubio,3
Bolivar,Choctaw,President,,Republican,Rick Santorum,1
Bolivar,Choctaw,President,,Republican,Donald J. Trump,13
Bolivar,Choctaw,U.S. House,2,Republican,John Bouie II,17
Bolivar,Cleveland Courthouse,President,,Republican,Jeb Bush,0
Bolivar,Cleveland Courthouse,President,,Republican,Ben Carson,5
Bolivar,Cleveland Courthouse,President,,Republican,Chris Christie,0
Bolivar,Cleveland Courthouse,President,,Republican,Ted Cruz,20
Bolivar,Cleveland Courthouse,President,,Republican,Carly Florina,0
Bolivar,Cleveland Courthouse,President,,Republican,Lindsey Graham,0
Bolivar,Cleveland Courthouse,President,,Republican,Mike Huckabee,1
Bolivar,Cleveland Courthouse,President,,Republican,John R. Kasich,30
Bolivar,Cleveland Courthouse,President,,Republican,George Pataki,0
Bolivar,Cleveland Courthouse,President,,Republican,Rand Paul,1
Bolivar,Cleveland Courthouse,President,,Republican,Marco Rubio,13
Bolivar,Cleveland Courthouse,President,,Republican,Rick Santorum,0
Bolivar,Cleveland Courthouse,President,,Republican,Donald J. Trump,46
Bolivar,Cleveland Courthouse,U.S. House,2,Republican,John Bouie II,90
Bolivar,Duncan-Alligator,President,,Republican,Jeb Bush,0
Bolivar,Duncan-Alligator,President,,Republican,Ben Carson,2
Bolivar,Duncan-Alligator,President,,Republican,Chris Christie,0
Bolivar,Duncan-Alligator,President,,Republican,Ted Cruz,6
Bolivar,Duncan-Alligator,President,,Republican,Carly Florina,0
Bolivar,Duncan-Alligator,President,,Republican,Lindsey Graham,0
Bolivar,Duncan-Alligator,President,,Republican,Mike Huckabee,0
Bolivar,Duncan-Alligator,President,,Republican,John R. Kasich,7
Bolivar,Duncan-Alligator,President,,Republican,George Pataki,0
Bolivar,Duncan-Alligator,President,,Republican,Rand Paul,0
Bolivar,Duncan-Alligator,President,,Republican,Marco Rubio,2
Bolivar,Duncan-Alligator,President,,Republican,Rick Santorum,0
Bolivar,Duncan-Alligator,President,,Republican,Donald J. Trump,22
Bolivar,Duncan-Alligator,U.S. House,2,Republican,John Bouie II,25
Bolivar,East Central Cleveland,President,,Republican,Jeb Bush,0
Bolivar,East Central Cleveland,President,,Republican,Ben Carson,0
Bolivar,East Central Cleveland,President,,Republican,Chris Christie,0
Bolivar,East Central Cleveland,President,,Republican,Ted Cruz,1
Bolivar,East Central Cleveland,President,,Republican,Carly Florina,0
Bolivar,East Central Cleveland,President,,Republican,Lindsey Graham,0
Bolivar,East Central Cleveland,President,,Republican,Mike Huckabee,0
Bolivar,East Central Cleveland,President,,Republican,John R. Kasich,0
Bolivar,East Central Cleveland,President,,Republican,George Pataki,0
Bolivar,East Central Cleveland,President,,Republican,Rand Paul,0
Bolivar,East Central Cleveland,President,,Republican,Marco Rubio,0
Bolivar,East Central Cleveland,President,,Republican,Rick Santorum,0
Bolivar,East Central Cleveland,President,,Republican,Donald J. Trump,0
Bolivar,East Central Cleveland,U.S. House,2,Republican,John Bouie II,1
Bolivar,East Cleveland,President,,Republican,Jeb Bush,0
Bolivar,East Cleveland,President,,Republican,Ben Carson,2
Bolivar,East Cleveland,President,,Republican,Chris Christie,0
Bolivar,East Cleveland,President,,Republican,Ted Cruz,2
Bolivar,East Cleveland,President,,Republican,Carly Florina,0
Bolivar,East Cleveland,President,,Republican,Lindsey Graham,0
Bolivar,East Cleveland,President,,Republican,Mike Huckabee,0
Bolivar,East Cleveland,President,,Republican,John R. Kasich,2
Bolivar,East Cleveland,President,,Republican,George Pataki,0
Bolivar,East Cleveland,President,,Republican,Rand Paul,0
Bolivar,East Cleveland,President,,Republican,Marco Rubio,1
Bolivar,East Cleveland,President,,Republican,Rick Santorum,0
Bolivar,East Cleveland,President,,Republican,Donald J. Trump,0
Bolivar,East Cleveland,U.S. House,2,Republican,John Bouie II,3
Bolivar,East Rosedale,President,,Republican,Jeb Bush,0
Bolivar,East Rosedale,President,,Republican,Ben Carson,0
Bolivar,East Rosedale,President,,Republican,Chris Christie,0
Bolivar,East Rosedale,President,,Republican,Ted Cruz,0
Bolivar,East Rosedale,President,,Republican,Carly Florina,0
Bolivar,East Rosedale,President,,Republican,Lindsey Graham,0
Bolivar,East Rosedale,President,,Republican,Mike Huckabee,0
Bolivar,East Rosedale,President,,Republican,John R. Kasich,3
Bolivar,East Rosedale,President,,Republican,George Pataki,0
