page,candidate,office,district,party,county,precinct,votes,winner
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,101-One,42,
2,Roger F. Wicker,States Senate,,R,Lauderdale,101-One,389,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,105-Five,20,
2,Roger F. Wicker,States Senate,,R,Lauderdale,105-Five,374,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,126-Andrews Chapel,13,
2,Roger F. Wicker,States Senate,,R,Lauderdale,126-Andrews Chapel,157,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,127-Bailey,44,
2,Roger F. Wicker,States Senate,,R,Lauderdale,127-Bailey,273,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,146-New Lauderdale,41,
2,Roger F. Wicker,States Senate,,R,Lauderdale,146-New Lauderdale,300,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,153-Prospect,14,
2,Roger F. Wicker,States Senate,,R,Lauderdale,153-Prospect,119,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,175-West Dalewood,8,
2,Roger F. Wicker,States Senate,,R,Lauderdale,175-West Dalewood,31,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,202-Two,6,
2,Roger F. Wicker,States Senate,,R,Lauderdale,202-Two,43,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,204-Four,4,
2,Roger F. Wicker,States Senate,,R,Lauderdale,204-Four,9,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,206 - Six,5,
2,Roger F. Wicker,States Senate,,R,Lauderdale,206 - Six,54,
2,Richard Warren Boyanton,States Senate,,R,Lauderdale,214-Fourteen,1,
2,Roger F. Wicker,States Senate,,R,Lauderdale,214-Fourteen,12,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,235-Daleville,6,
3,Roger F. Wicker,States Senate,,R,Lauderdale,235-Daleville,15,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,237-East Lauderdale,46,
3,Roger F. Wicker,States Senate,,R,Lauderdale,237-East Lauderdale,146,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,238-Marion,18,
3,Roger F. Wicker,States Senate,,R,Lauderdale,238-Marion,104,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,240-Kewanee,10,
3,Roger F. Wicker,States Senate,,R,Lauderdale,240-Kewanee,25,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,254- Russell,24,
3,Roger F. Wicker,States Senate,,R,Lauderdale,254- Russell,148,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,262-Toomsuba,11,
3,Roger F. Wicker,States Senate,,R,Lauderdale,262-Toomsuba,37,
3,Richard Warren Boyanton,States Senate,,R,Lauderdale,303-Three,12,
3,Roger F. Wicker,States Senate,,R,Lauderdale,303-Three,48,
