page,candidate,office,district,party,county,precinct,votes
2,David Baria,US Senate ,,Democrat ,Lauderdale ,101-One,415
2,Roger F. Wicker,US Senate ,,Republican ,Lauderdale ,101-One,858
2,Danny Bedwell,US Senate ,,Libertarian,Lauderdale ,101-One,10
2,Shawn O'Hara,US Senate ,,Reform,Lauderdale ,101-One,1
2,Tobey Bernard Bartee,US Senate Special,,,Lauderdale ,101-One,28
2,Mike Espy,US Senate Special,,,Lauderdale ,101-One,404
2,Cindy Hyde-Smith,US Senate Special,,,Lauderdale ,101-One,684
2,Chris McDaniel,US Senate Special,,,Lauderdale ,101-One,165
2,Michael Ted Evans,US House,3,Democrat ,Lauderdale ,101-One,419
2,Michael Guest,US House,3,Republican ,Lauderdale ,101-One,857
2,Matthew Holland,US House,3,Reform,Lauderdale ,101-One,5
2,David Baria,US Senate ,,Democrat ,Lauderdale ,105-Five,339
2,Roger F. Wicker,US Senate ,,Republican ,Lauderdale ,105-Five,776
2,Danny Bedwell,US Senate ,,Libertarian,Lauderdale ,105-Five,12
2,Shawn O'Hara,US Senate ,,Reform,Lauderdale ,105-Five,2
2,Tobey Bernard Bartee,US Senate Special,,,Lauderdale ,105-Five,17
2,Mike Espy,US Senate Special,,,Lauderdale ,105-Five,358
2,Cindy Hyde-Smith,US Senate Special,,,Lauderdale ,105-Five,632
2,Chris McDaniel,US Senate Special,,,Lauderdale ,105-Five,115
2,Michael Ted Evans,US House,3,Democrat ,Lauderdale ,105-Five,355
2,Michael Guest,US House,3,Republican ,Lauderdale ,105-Five,769
2,Matthew Holland,US House,3,Reform,Lauderdale ,105-Five,2
2,David Baria,US Senate ,,Democrat ,Lauderdale ,126-Andrews Chapel,135
2,Roger F. Wicker,US Senate ,,Republican ,Lauderdale ,126-Andrews Chapel,418
2,Danny Bedwell,US Senate ,,Libertarian,Lauderdale ,126-Andrews Chapel,7
2,Shawn O'Hara,US Senate ,,Reform,Lauderdale ,126-Andrews Chapel,1
2,Tobey Bernard Bartee,US Senate Special,,,Lauderdale ,126-Andrews Chapel,9
2,Mike Espy,US Senate Special,,,Lauderdale ,126-Andrews Chapel,130
2,Cindy Hyde-Smith,US Senate Special,,,Lauderdale ,126-Andrews Chapel,317
2,Chris McDaniel,US Senate Special,,,Lauderdale ,126-Andrews Chapel,103
2,Michael Ted Evans,US House,3,Democrat ,Lauderdale ,126-Andrews Chapel,144
2,Michael Guest,US House,3,Republican ,Lauderdale ,126-Andrews Chapel,409
2,Matthew Holland,US House,3,Reform,Lauderdale ,126-Andrews Chapel,1
2,David Baria,US Senate ,,Democrat ,Lauderdale ,127-Bailey,226
2,Roger F. Wicker,US Senate ,,Republican ,Lauderdale ,127-Bailey,729
2,Danny Bedwell,US Senate ,,Libertarian,Lauderdale ,127-Bailey,8
2,Shawn O'Hara,US Senate ,,Reform,Lauderdale ,127-Bailey,2
