county,precinct,office,district,party,candidate,votes
Oktibbeha,Bell Schoolhouse,U.S. House,1,DEM,Randy Mack Wadkins,33
Oktibbeha,Bell Schoolhouse,U.S. House,1,REP,Trent Kelly,32
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,David Baria,14
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,Howard Sherman,22
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,Jensen Bohren,1
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,Jerone Garland,0
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,Omeria Scott,5
Oktibbeha,Bell Schoolhouse,U.S. Senate,,DEM,Victor G. Maurice Jr.,1
Oktibbeha,Bell Schoolhouse,U.S. Senate,,REP,Richard Warren Boyanton,4
Oktibbeha,Bell Schoolhouse,U.S. Senate,,REP,Roger F. Wicker,30
Oktibbeha,Center Grove/North Adaton,U.S. House,1,DEM,Randy Mack Wadkins,20
Oktibbeha,Center Grove/North Adaton,U.S. House,1,REP,Trent Kelly,33
Oktibbeha,Center Grove/North Adaton,U.S. House,3,DEM,Michael Aycox,10
Oktibbeha,Center Grove/North Adaton,U.S. House,3,DEM,Michael Ted Evans,12
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Katherine 'Bitzi' Tate,1
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Michael Guest,23
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Morgan Dunn,0
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Perry Parker,8
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Sally Doty,4
Oktibbeha,Center Grove/North Adaton,U.S. House,3,REP,Whit Hughes,13
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,David Baria,14
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,Howard Sherman,18
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,Jensen Bohren,1
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,Jerone Garland,6
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,Omeria Scott,11
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,DEM,Victor G. Maurice Jr.,1
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,REP,Richard Warren Boyanton,8
Oktibbeha,Center Grove/North Adaton,U.S. Senate,,REP,Roger F. Wicker,79
Oktibbeha,Central Starkville,U.S. House,3,DEM,Michael Aycox,38
Oktibbeha,Central Starkville,U.S. House,3,DEM,Michael Ted Evans,68
Oktibbeha,Central Starkville,U.S. House,3,REP,Katherine 'Bitzi' Tate,0
Oktibbeha,Central Starkville,U.S. House,3,REP,Michael Guest,15
Oktibbeha,Central Starkville,U.S. House,3,REP,Morgan Dunn,0
Oktibbeha,Central Starkville,U.S. House,3,REP,Perry Parker,5
Oktibbeha,Central Starkville,U.S. House,3,REP,Sally Doty,0
Oktibbeha,Central Starkville,U.S. House,3,REP,Whit Hughes,18
Oktibbeha,Central Starkville,U.S. Senate,,DEM,David Baria,46
Oktibbeha,Central Starkville,U.S. Senate,,DEM,Howard Sherman,32
Oktibbeha,Central Starkville,U.S. Senate,,DEM,Jensen Bohren,6
Oktibbeha,Central Starkville,U.S. Senate,,DEM,Jerone Garland,3
Oktibbeha,Central Starkville,U.S. Senate,,DEM,Omeria Scott,147
Oktibbeha,Central Starkville,U.S. Senate,,DEM,Victor G. Maurice Jr.,7
Oktibbeha,Central Starkville,U.S. Senate,,REP,Richard Warren Boyanton,3
Oktibbeha,Central Starkville,U.S. Senate,,REP,Roger F. Wicker,35
Oktibbeha,Craig Springs/South Bradley,U.S. House,1,DEM,Randy Mack Wadkins,0
Oktibbeha,Craig Springs/South Bradley,U.S. House,1,REP,Trent Kelly,1
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,DEM,Michael Aycox,2
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,DEM,Michael Ted Evans,0
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Katherine 'Bitzi' Tate,0
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Michael Guest,27
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Morgan Dunn,1
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Perry Parker,9
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Sally Doty,3
Oktibbeha,Craig Springs/South Bradley,U.S. House,3,REP,Whit Hughes,20
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,David Baria,1
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,Howard Sherman,1
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,Jensen Bohren,1
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,Jerone Garland,0
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,Omeria Scott,0
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,DEM,Victor G. Maurice Jr.,0
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,REP,Richard Warren Boyanton,8
Oktibbeha,Craig Springs/South Bradley,U.S. Senate,,REP,Roger F. Wicker,57
Oktibbeha,East Starkville,U.S. House,3,DEM,Michael Aycox,9
Oktibbeha,East Starkville,U.S. House,3,DEM,Michael Ted Evans,7
Oktibbeha,East Starkville,U.S. House,3,REP,Katherine 'Bitzi' Tate,1
Oktibbeha,East Starkville,U.S. House,3,REP,Michael Guest,1
Oktibbeha,East Starkville,U.S. House,3,REP,Morgan Dunn,0
Oktibbeha,East Starkville,U.S. House,3,REP,Perry Parker,3
Oktibbeha,East Starkville,U.S. House,3,REP,Sally Doty,4
Oktibbeha,East Starkville,U.S. House,3,REP,Whit Hughes,11
Oktibbeha,East Starkville,U.S. Senate,,DEM,David Baria,12
Oktibbeha,East Starkville,U.S. Senate,,DEM,Howard Sherman,2
Oktibbeha,East Starkville,U.S. Senate,,DEM,Jensen Bohren,1
Oktibbeha,East Starkville,U.S. Senate,,DEM,Jerone Garland,0
Oktibbeha,East Starkville,U.S. Senate,,DEM,Omeria Scott,0
Oktibbeha,East Starkville,U.S. Senate,,DEM,Victor G. Maurice Jr.,0
Oktibbeha,East Starkville,U.S. Senate,,REP,Richard Warren Boyanton,1
Oktibbeha,East Starkville,U.S. Senate,,REP,Roger F. Wicker,19
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,DEM,Michael Aycox,29
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,DEM,Michael Ted Evans,76
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Katherine 'Bitzi' Tate,1
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Michael Guest,51
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Morgan Dunn,8
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Perry Parker,46
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Sally Doty,10
Oktibbeha,Hickory Grove/Southeast,U.S. House,3,REP,Whit Hughes,70
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,David Baria,29
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,Howard Sherman,29
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,Jensen Bohren,7
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,Jerone Garland,6
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,Omeria Scott,28
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,DEM,Victor G. Maurice Jr.,8
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,REP,Richard Warren Boyanton,38
Oktibbeha,Hickory Grove/Southeast,U.S. Senate,,REP,Roger F. Wicker,147
Oktibbeha,Maben,U.S. House,1,DEM,Randy Mack Wadkins,9
Oktibbeha,Maben,U.S. House,1,REP,Trent Kelly,31
Oktibbeha,Maben,U.S. Senate,,DEM,David Baria,3
Oktibbeha,Maben,U.S. Senate,,DEM,Howard Sherman,6
Oktibbeha,Maben,U.S. Senate,,DEM,Jensen Bohren,2
Oktibbeha,Maben,U.S. Senate,,DEM,Jerone Garland,1
Oktibbeha,Maben,U.S. Senate,,DEM,Omeria Scott,0
Oktibbeha,Maben,U.S. Senate,,DEM,Victor G. Maurice Jr.,0
