Page,candidate,office,district,party,county,precinct,votes,winner
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Bywy,61,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Bywy,89,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Chester,56,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Chester,140,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,District 5,143,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,District 5,469,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,East Weir,183,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,East Weir,53,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Fentress,49,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Fentress,134,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,French Camp,40,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,French Camp,191,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Hebron,14,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Hebron,114,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Kenego,7,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Kenego,169,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Panhandle,68,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Panhandle,96,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Reform,71,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Reform,122,
2,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Sherwood,5,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Sherwood,192,
3,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,Southwest Ackerman,218,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,Southwest Ackerman,35,
3,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,West Weir,85,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,West Weir,128,
3,Mike Espy,U.S. Senate,Unexpired Term,,Choctaw,TOTAL ,1000,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Choctaw,TOTAL ,1932,
