county,precinct,office,district,party,candidate,votes
Noxubee,Brooksville,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,201
Noxubee,Brooksville,U.S. Senate,Unexpired Term,,Mike Espy,589
Noxubee,Cliftonville,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,24
Noxubee,Cliftonville,U.S. Senate,Unexpired Term,,Mike Espy,343
Noxubee,District 3 Central,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,118
Noxubee,District 3 Central,U.S. Senate,Unexpired Term,,Mike Espy,752
Noxubee,Earl Nash Gym,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,153
Noxubee,Earl Nash Gym,U.S. Senate,Unexpired Term,,Mike Espy,698
Noxubee,Mashulaville,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,135
Noxubee,Mashulaville,U.S. Senate,Unexpired Term,,Mike Espy,116
Noxubee,Prairie Point,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,93
Noxubee,Prairie Point,U.S. Senate,Unexpired Term,,Mike Espy,263
Noxubee,Shuqualak,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,100
Noxubee,Shuqualak,U.S. Senate,Unexpired Term,,Mike Espy,433
Noxubee,Summerville,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,76
Noxubee,Summerville,U.S. Senate,Unexpired Term,,Mike Espy,23
Noxubee,Total,U.S. Senate,Unexpired Term,,Cindy Hyde-Smith,900
Noxubee,Total,U.S. Senate,Unexpired Term,,Mike Espy,3217
