Page,candidate,office,district,party,county,precinct,votes,winner
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/Branch,86,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/Branch,340,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 1/Harperville,349,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 1/Harperville,197,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 1/Hillsboro,384,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 1/Hillsboro,186,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 1/North Forest,460,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 1/North Forest,61,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 2/High Hill,113,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 2/High Hill,103,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 2/Homewood,52,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 2/Homewood,166,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 2/Lake,92,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 2/Lake,103,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 2/South Forest,421,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 2/South Forest,208,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 2/Usry,20,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 2/Usry,168,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 3/Cooperville/Springf,39,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 3/Cooperville/Springf,409,
2,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 3/Eastwest Morton,303,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 3/Eastwest Morton,449,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 3/Northwest Forest,22,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 3/Northwest Forest,97,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 3/Pulaski,39,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 3/Pulaski,170,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/Clifton,15,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/Clifton,61,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/Contrell,142,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/Contrell,59,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/Forkville,12,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/Forkville,175,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/Ludlow,125,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/Ludlow,228,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 4/North Morton,361,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 4/North Morton,162,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 5/Langs Mill,113,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 5/Langs Mill,257,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 5/Northeast Forest,56,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 5/Northeast Forest,296,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 5/Salem,178,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 5/Salem,136,
3,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 5/Sebastopol,17,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 5/Sebastopol,254,
4,Mike Espy,U.S. Senate,Unexpired Term,,Scott,Beat 5/Steele,247,
4,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,Beat 5/Steele,144,
4,Mike Espy,U.S. Senate,Unexpired Term,,Scott,TOTAL ,3646,
4,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Scott,TOTAL ,4429,
