Page,candidate,office,district,party,county,precinct,votes,winner
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Bellefontaine,17,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Bellefontaine,160,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Big Black,14,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Big Black,144,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Bluff Springs,51,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Bluff Springs,51,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Cadaretta,6,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Cadaretta,78,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Clarkson,9,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Clarkson,187,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Cumberland,40,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Cumberland,165,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Eupora No. 1,340,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Eupora No. 1,275,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Eupora No. 2,29,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Eupora No. 2,181,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Eupora No. 3,56,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Eupora No. 3,119,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Fame,6,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Fame,150,
2,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Fay,6,
2,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Fay,76,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Grady,31,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Grady,124,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Maben,95,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Maben,212,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Mantee,23,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Mantee,245,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Mathiston,74,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Mathiston,301,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Tomnolen,24,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Tomnolen,219,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,Walthall,24,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,Walthall,250,
3,Mike Espy,U.S. Senate,Unexpired Term,,Webster,TOTAL ,845,
3,Cindy Hyde-Smith,U.S. Senate,Unexpired Term,,Webster,TOTAL ,2937,
