page,candidate,office,district,party,county,precinct,votes
2,Tate Reeves,Governor,,R,Adams,"Dist. 1, Bellemont Precinct",115
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 1, Bellemont Precinct",45
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 1, Bellemont Precinct",57
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 1, Bellemont Precinct",101
2,Tate Reeves,Governor,,R,Adams,"Dist. 1, By-Pass Fire Precinct",22
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 1, By-Pass Fire Precinct",5
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 1, By-Pass Fire Precinct","""X"""
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 1, By-Pass Fire Precinct","""X"""
2,Tate Reeves,Governor,,R,Adams,"Dist. 1, Courthouse Precinct",23
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 1, Courthouse Precinct",31
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 1, Courthouse Precinct",32
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 1, Courthouse Precinct",19
2,Tate Reeves,Governor,,R,Adams,"Dist. 2, Beau Pre Precinct",67
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 2, Beau Pre Precinct",30
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 2, Beau Pre Precinct",26
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 2, Beau Pre Precinct",69
2,Tate Reeves,Governor,,R,Adams,"Dist. 2, Duncan Park Precinct",39
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 2, Duncan Park Precinct",16
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 2, Duncan Park Precinct",23
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 2, Duncan Park Precinct",35
2,Tate Reeves,Governor,,R,Adams,"Dist. 2, Kingston Precinct",143
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 2, Kingston Precinct",25
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 2, Kingston Precinct",36
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 2, Kingston Precinct",129
2,Tate Reeves,Governor,,R,Adams,"Dist. 2, Liberty Park Precinct",69
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 2, Liberty Park Precinct",19
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 2, Liberty Park Precinct",23
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 2, Liberty Park Precinct",63
2,Tate Reeves,Governor,,R,Adams,"Dist. 3, Concord Precinct",6
2,Bill Waller Jr.,Governor,,R,Adams,"Dist. 3, Concord Precinct",4
2,Morgan Halford Poore,State Senate,37,R,Adams,"Dist. 3, Concord Precinct",1
2,Melanie Sojourner,State Senate,37,R,Adams,"Dist. 3, Concord Precinct",9
