page,candidate,office,district,party,county,precinct,votes
2,Jim Hood,Governor,,D,Scott,Beat 4/Branch,115
2,Tate Reeves,Governor,,R,Scott,Beat 4/Branch,306
2,Bob Hickingbottom,Governor,,C,Scott,Beat 4/Branch,0
2,David R Singletary,Governor,,IND,Scott,Beat 4/Branch,7
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 4/Branch,323
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 4/Branch,105
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 4/Branch,94
2,Michael Watson,Secretary of State,,R,Scott,Beat 4/Branch,328
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 4/Branch,93
2,Lynn Fitch,Attorney General,,R,Scott,Beat 4/Branch,336
2,Shad White,State Auditor,,R,Scott,Beat 4/Branch,375
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 4/Branch,72
5,David McRae,State Treasurer,,R,Scott,Beat 4/Branch,352
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 4/Branch,73
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 4/Branch,348
8,Mike Marlow,State Senate,31,D,Scott,Beat 4/Branch,78
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 4/Branch,348
8,Vance Cox,State House,75,R,Scott,Beat 4/Branch,152
8,Tom Miles,State House,75,D,Scott,Beat 4/Branch,277
8,Joe C Bradford,State House,78,D,Scott,Beat 4/Branch,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 4/Branch,x
2,Jim Hood,Governor,,D,Scott,Beat 1/Harperville,311
2,Tate Reeves,Governor,,R,Scott,Beat 1/Harperville,184
2,Bob Hickingbottom,Governor,,C,Scott,Beat 1/Harperville,1
2,David R Singletary,Governor,,IND,Scott,Beat 1/Harperville,1
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 1/Harperville,208
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 1/Harperville,287
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 1/Harperville,286
2,Michael Watson,Secretary of State,,R,Scott,Beat 1/Harperville,200
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 1/Harperville,290
2,Lynn Fitch,Attorney General,,R,Scott,Beat 1/Harperville,204
2,Shad White,State Auditor,,R,Scott,Beat 1/Harperville,314
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 1/Harperville,276
5,David McRae,State Treasurer,,R,Scott,Beat 1/Harperville,214
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 1/Harperville,282
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 1/Harperville,207
8,Mike Marlow,State Senate,31,D,Scott,Beat 1/Harperville,289
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 1/Harperville,202
8,Vance Cox,State House,75,R,Scott,Beat 1/Harperville,x
8,Tom Miles,State House,75,D,Scott,Beat 1/Harperville,x
8,Joe C Bradford,State House,78,D,Scott,Beat 1/Harperville,325
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 1/Harperville,168
2,Jim Hood,Governor,,D,Scott,Beat 1/Hillsboro,357
2,Tate Reeves,Governor,,R,Scott,Beat 1/Hillsboro,167
2,Bob Hickingbottom,Governor,,C,Scott,Beat 1/Hillsboro,1
2,David R Singletary,Governor,,IND,Scott,Beat 1/Hillsboro,4
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 1/Hillsboro,194
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 1/Hillsboro,318
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 1/Hillsboro,322
2,Michael Watson,Secretary of State,,R,Scott,Beat 1/Hillsboro,179
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 1/Hillsboro,339
2,Lynn Fitch,Attorney General,,R,Scott,Beat 1/Hillsboro,184
2,Shad White,State Auditor,,R,Scott,Beat 1/Hillsboro,312
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 1/Hillsboro,315
5,David McRae,State Treasurer,,R,Scott,Beat 1/Hillsboro,199
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 1/Hillsboro,319
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 1/Hillsboro,191
8,Mike Marlow,State Senate,31,D,Scott,Beat 1/Hillsboro,325
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 1/Hillsboro,183
8,Vance Cox,State House,75,R,Scott,Beat 1/Hillsboro,29
8,Tom Miles,State House,75,D,Scott,Beat 1/Hillsboro,31
8,Joe C Bradford,State House,78,D,Scott,Beat 1/Hillsboro,344
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 1/Hillsboro,110
2,Jim Hood,Governor,,D,Scott,Beat 1/North Forest ,370
2,Tate Reeves,Governor,,R,Scott,Beat 1/North Forest ,64
2,Bob Hickingbottom,Governor,,C,Scott,Beat 1/North Forest ,1
2,David R Singletary,Governor,,IND,Scott,Beat 1/North Forest ,1
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 1/North Forest ,97
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 1/North Forest ,328
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 1/North Forest ,356
2,Michael Watson,Secretary of State,,R,Scott,Beat 1/North Forest ,70
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 1/North Forest ,360
2,Lynn Fitch,Attorney General,,R,Scott,Beat 1/North Forest ,71
2,Shad White,State Auditor,,R,Scott,Beat 1/North Forest ,255
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 1/North Forest ,348
5,David McRae,State Treasurer,,R,Scott,Beat 1/North Forest ,81
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 1/North Forest ,360
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 1/North Forest ,72
8,Mike Marlow,State Senate,31,D,Scott,Beat 1/North Forest ,347
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 1/North Forest ,78
8,Vance Cox,State House,75,R,Scott,Beat 1/North Forest ,63
8,Tom Miles,State House,75,D,Scott,Beat 1/North Forest ,371
8,Joe C Bradford,State House,78,D,Scott,Beat 1/North Forest ,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 1/North Forest ,x
2,Jim Hood,Governor,,D,Scott,Beat 2/High Hill,118
2,Tate Reeves,Governor,,R,Scott,Beat 2/High Hill,110
2,Bob Hickingbottom,Governor,,C,Scott,Beat 2/High Hill,3
2,David R Singletary,Governor,,IND,Scott,Beat 2/High Hill,0
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 2/High Hill,123
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 2/High Hill,99
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 2/High Hill,107
2,Michael Watson,Secretary of State,,R,Scott,Beat 2/High Hill,115
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 2/High Hill,109
2,Lynn Fitch,Attorney General,,R,Scott,Beat 2/High Hill,120
2,Shad White,State Auditor,,R,Scott,Beat 2/High Hill,165
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 2/High Hill,102
5,David McRae,State Treasurer,,R,Scott,Beat 2/High Hill,122
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 2/High Hill,103
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 2/High Hill,121
8,Mike Marlow,State Senate,31,D,Scott,Beat 2/High Hill,104
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 2/High Hill,117
8,Vance Cox,State House,75,R,Scott,Beat 2/High Hill,60
8,Tom Miles,State House,75,D,Scott,Beat 2/High Hill,171
8,Joe C Bradford,State House,78,D,Scott,Beat 2/High Hill,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 2/High Hill,x
2,Jim Hood,Governor,,D,Scott,Beat 2/Homewood,65
2,Tate Reeves,Governor,,R,Scott,Beat 2/Homewood,166
2,Bob Hickingbottom,Governor,,C,Scott,Beat 2/Homewood,0
2,David R Singletary,Governor,,IND,Scott,Beat 2/Homewood,0
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 2/Homewood,184
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 2/Homewood,43
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 2/Homewood,56
2,Michael Watson,Secretary of State,,R,Scott,Beat 2/Homewood,170
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 2/Homewood,52
2,Lynn Fitch,Attorney General,,R,Scott,Beat 2/Homewood,179
2,Shad White,State Auditor,,R,Scott,Beat 2/Homewood,204
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 2/Homewood,46
5,David McRae,State Treasurer,,R,Scott,Beat 2/Homewood,182
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 2/Homewood,45
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 2/Homewood,183
8,Mike Marlow,State Senate,31,D,Scott,Beat 2/Homewood,52
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 2/Homewood,179
8,Vance Cox,State House,75,R,Scott,Beat 2/Homewood,88
8,Tom Miles,State House,75,D,Scott,Beat 2/Homewood,142
8,Joe C Bradford,State House,78,D,Scott,Beat 2/Homewood,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 2/Homewood,x
2,Jim Hood,Governor,,D,Scott,Beat 2/Lake,102
2,Tate Reeves,Governor,,R,Scott,Beat 2/Lake,93
2,Bob Hickingbottom,Governor,,C,Scott,Beat 2/Lake,2
2,David R Singletary,Governor,,IND,Scott,Beat 2/Lake,0
