candidate,office,district,party,county,precinct,votes
Robert Foster,Governor,,R,Wilkinson,Centreville 1st 1020,0
Tate Reeves,Governor,,R,Wilkinson,Centreville 1st 1020,4
Bill Waller Jr.,Governor,,R,Wilkinson,Centreville 1st 1020,2
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Centreville 1st 1020,5
Shane Quick,Lieutenant Governor,,R,Wilkinson,Centreville 1st 1020,1
Sam Britton,Secretary of State,,R,Wilkinson,Centreville 1st 1020,4
Michael Watson,Secretary of State,,R,Wilkinson,Centreville 1st 1020,2
Mark Baker,Attorney General,,R,Wilkinson,Centreville 1st 1020,2
Lynn Fitch,Attorney General,,R,Wilkinson,Centreville 1st 1020,2
Andy Taggart,Attorney General,,R,Wilkinson,Centreville 1st 1020,2
Shad White,State Auditor,,R,Wilkinson,Centreville 1st 1020,5
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Centreville 1st 1020,2
David McRae,State Treasurer,,R,Wilkinson,Centreville 1st 1020,4
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Centreville 1st 1020,6
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Centreville 1st 1020,6
Michael Brown,Governor,,D,Wilkinson,Centreville 1st 1020,94
William Bond Compton Jr.,Governor,,D,Wilkinson,Centreville 1st 1020,15
Jim Hood,Governor,,D,Wilkinson,Centreville 1st 1020,109
Robert J. Ray,Governor,,D,Wilkinson,Centreville 1st 1020,17
Robert Shuler Smith,Governor,,D,Wilkinson,Centreville 1st 1020,20
Gregory Wash,Governor,,D,Wilkinson,Centreville 1st 1020,17
Velesha P Williams,Governor,,D,Wilkinson,Centreville 1st 1020,45
Albert Wilson,Governor,,D,Wilkinson,Centreville 1st 1020,5
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Centreville 1st 1020,268
Johnny DuPree,Secretary of State,,D,Wilkinson,Centreville 1st 1020,173
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Centreville 1st 1020,119
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Centreville 1st 1020,279
Addie Lee Green,State Treasurer,,D,Wilkinson,Centreville 1st 1020,278
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Centreville 1st 1020,275
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Centreville 1st 1020,268
Kelvin E Butler,State Senate,38,D,Wilkinson,Centreville 1st 1020,97
Tammy Witherspoon,State Senate,38,D,Wilkinson,Centreville 1st 1020,224
Aisha A Sanders,State House,96,D,Wilkinson,Centreville 1st 1020,277
Robert Foster,Governor,,R,Wilkinson,Centreville 3rd 3010,3
Tate Reeves,Governor,,R,Wilkinson,Centreville 3rd 3010,5
Bill Waller Jr.,Governor,,R,Wilkinson,Centreville 3rd 3010,1
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Centreville 3rd 3010,4
Shane Quick,Lieutenant Governor,,R,Wilkinson,Centreville 3rd 3010,2
Sam Britton,Secretary of State,,R,Wilkinson,Centreville 3rd 3010,3
Michael Watson,Secretary of State,,R,Wilkinson,Centreville 3rd 3010,3
Mark Baker,Attorney General,,R,Wilkinson,Centreville 3rd 3010,3
Lynn Fitch,Attorney General,,R,Wilkinson,Centreville 3rd 3010,1
Andy Taggart,Attorney General,,R,Wilkinson,Centreville 3rd 3010,2
Shad White,State Auditor,,R,Wilkinson,Centreville 3rd 3010,3
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Centreville 3rd 3010,2
David McRae,State Treasurer,,R,Wilkinson,Centreville 3rd 3010,4
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Centreville 3rd 3010,6
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Centreville 3rd 3010,6
Michael Brown,Governor,,D,Wilkinson,Centreville 3rd 3010,122
William Bond Compton Jr.,Governor,,D,Wilkinson,Centreville 3rd 3010,10
Jim Hood,Governor,,D,Wilkinson,Centreville 3rd 3010,179
Robert J. Ray,Governor,,D,Wilkinson,Centreville 3rd 3010,14
Robert Shuler Smith,Governor,,D,Wilkinson,Centreville 3rd 3010,36
Gregory Wash,Governor,,D,Wilkinson,Centreville 3rd 3010,17
Velesha P Williams,Governor,,D,Wilkinson,Centreville 3rd 3010,59
Albert Wilson,Governor,,D,Wilkinson,Centreville 3rd 3010,9
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Centreville 3rd 3010,374
Johnny DuPree,Secretary of State,,D,Wilkinson,Centreville 3rd 3010,256
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Centreville 3rd 3010,147
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Centreville 3rd 3010,380
Addie Lee Green,State Treasurer,,D,Wilkinson,Centreville 3rd 3010,367
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Centreville 3rd 3010,378
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Centreville 3rd 3010,362
Kelvin E Butler,State Senate,38,D,Wilkinson,Centreville 3rd 3010,203
Tammy Witherspoon,State Senate,38,D,Wilkinson,Centreville 3rd 3010,258
Aisha A Sanders,State House,96,D,Wilkinson,Centreville 3rd 3010,374
Robert Foster,Governor,,R,Wilkinson,Cold Springs 4020,2
Tate Reeves,Governor,,R,Wilkinson,Cold Springs 4020,5
Bill Waller Jr.,Governor,,R,Wilkinson,Cold Springs 4020,2
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Cold Springs 4020,5
Shane Quick,Lieutenant Governor,,R,Wilkinson,Cold Springs 4020,2
Sam Britton,Secretary of State,,R,Wilkinson,Cold Springs 4020,5
Michael Watson,Secretary of State,,R,Wilkinson,Cold Springs 4020,4
Mark Baker,Attorney General,,R,Wilkinson,Cold Springs 4020,5
Lynn Fitch,Attorney General,,R,Wilkinson,Cold Springs 4020,3
Andy Taggart,Attorney General,,R,Wilkinson,Cold Springs 4020,0
Shad White,State Auditor,,R,Wilkinson,Cold Springs 4020,6
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Cold Springs 4020,2
David McRae,State Treasurer,,R,Wilkinson,Cold Springs 4020,5
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Cold Springs 4020,7
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Cold Springs 4020,7
Michael Brown,Governor,,D,Wilkinson,Cold Springs 4020,25
William Bond Compton Jr.,Governor,,D,Wilkinson,Cold Springs 4020,3
Jim Hood,Governor,,D,Wilkinson,Cold Springs 4020,54
Robert J. Ray,Governor,,D,Wilkinson,Cold Springs 4020,4
Robert Shuler Smith,Governor,,D,Wilkinson,Cold Springs 4020,5
Gregory Wash,Governor,,D,Wilkinson,Cold Springs 4020,2
Velesha P Williams,Governor,,D,Wilkinson,Cold Springs 4020,5
Albert Wilson,Governor,,D,Wilkinson,Cold Springs 4020,1
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Cold Springs 4020,78
Johnny DuPree,Secretary of State,,D,Wilkinson,Cold Springs 4020,52
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Cold Springs 4020,30
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Cold Springs 4020,76
Addie Lee Green,State Treasurer,,D,Wilkinson,Cold Springs 4020,78
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Cold Springs 4020,77
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Cold Springs 4020,74
Kelvin E Butler,State Senate,38,D,Wilkinson,Cold Springs 4020,58
Tammy Witherspoon,State Senate,38,D,Wilkinson,Cold Springs 4020,34
Aisha A Sanders,State House,96,D,Wilkinson,Cold Springs 4020,77
Robert Foster,Governor,,R,Wilkinson,Fort Adams 2020,3
Tate Reeves,Governor,,R,Wilkinson,Fort Adams 2020,2
Bill Waller Jr.,Governor,,R,Wilkinson,Fort Adams 2020,0
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Fort Adams 2020,3
Shane Quick,Lieutenant Governor,,R,Wilkinson,Fort Adams 2020,2
Sam Britton,Secretary of State,,R,Wilkinson,Fort Adams 2020,3
Michael Watson,Secretary of State,,R,Wilkinson,Fort Adams 2020,2
Mark Baker,Attorney General,,R,Wilkinson,Fort Adams 2020,1
Lynn Fitch,Attorney General,,R,Wilkinson,Fort Adams 2020,2
Andy Taggart,Attorney General,,R,Wilkinson,Fort Adams 2020,2
Shad White,State Auditor,,R,Wilkinson,Fort Adams 2020,3
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Fort Adams 2020,3
David McRae,State Treasurer,,R,Wilkinson,Fort Adams 2020,2
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Fort Adams 2020,4
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Fort Adams 2020,5
Michael Brown,Governor,,D,Wilkinson,Fort Adams 2020,100
William Bond Compton Jr.,Governor,,D,Wilkinson,Fort Adams 2020,8
Jim Hood,Governor,,D,Wilkinson,Fort Adams 2020,122
Robert J. Ray,Governor,,D,Wilkinson,Fort Adams 2020,11
Robert Shuler Smith,Governor,,D,Wilkinson,Fort Adams 2020,15
Gregory Wash,Governor,,D,Wilkinson,Fort Adams 2020,4
Velesha P Williams,Governor,,D,Wilkinson,Fort Adams 2020,19
Albert Wilson,Governor,,D,Wilkinson,Fort Adams 2020,2
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Fort Adams 2020,217
Johnny DuPree,Secretary of State,,D,Wilkinson,Fort Adams 2020,148
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Fort Adams 2020,98
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Fort Adams 2020,227
Addie Lee Green,State Treasurer,,D,Wilkinson,Fort Adams 2020,220
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Fort Adams 2020,215
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Fort Adams 2020,206
Kelvin E Butler,State Senate,38,D,Wilkinson,Fort Adams 2020,115
Tammy Witherspoon,State Senate,38,D,Wilkinson,Fort Adams 2020,160
Aisha A Sanders,State House,96,D,Wilkinson,Fort Adams 2020,225
Robert Foster,Governor,,R,Wilkinson,Longmire 5020,8
Tate Reeves,Governor,,R,Wilkinson,Longmire 5020,24
Bill Waller Jr.,Governor,,R,Wilkinson,Longmire 5020,1
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Longmire 5020,20
Shane Quick,Lieutenant Governor,,R,Wilkinson,Longmire 5020,12
Sam Britton,Secretary of State,,R,Wilkinson,Longmire 5020,16
Michael Watson,Secretary of State,,R,Wilkinson,Longmire 5020,15
Mark Baker,Attorney General,,R,Wilkinson,Longmire 5020,19
Lynn Fitch,Attorney General,,R,Wilkinson,Longmire 5020,5
Andy Taggart,Attorney General,,R,Wilkinson,Longmire 5020,7
Shad White,State Auditor,,R,Wilkinson,Longmire 5020,29
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Longmire 5020,18
David McRae,State Treasurer,,R,Wilkinson,Longmire 5020,11
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Longmire 5020,29
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Longmire 5020,29
Michael Brown,Governor,,D,Wilkinson,Longmire 5020,32
