candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Clarke,Beaverdam,115
Tate Reeves,Governor,,R,Clarke,Beaverdam,50
Bob Hickingbottom,Governor,,C,Clarke,Beaverdam,0
David R Singletary,Governor,,IND,Clarke,Beaverdam,0
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Beaverdam,53
Jay Hughes,Lieutenant Governor,,D,Clarke,Beaverdam,99
Johnny DuPree,Secretary of State,,D,Clarke,Beaverdam,110
Michael Watson,Secretary of State,,R,Clarke,Beaverdam,50
Jennifer Riley Collins,Attorney General,,D,Clarke,Beaverdam,105
Lynn Fitch,Attorney General,,R,Clarke,Beaverdam,54
Shad White,State Auditor,,R,Clarke,Beaverdam,93
Addie Lee Green,State Treasurer,,D,Clarke,Beaverdam,104
David McRae,State Treasurer,,R,Clarke,Beaverdam,53
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Beaverdam,104
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Beaverdam,56
Jelf Tate,State Senate,33,R,Clarke,Beaverdam,92
Omeria Scott,State House,80,D,Clarke,Beaverdam,146
Stephen A 'Steve' Horne,State House,81,R,Clarke,Beaverdam,X
Troy Smith,State House,84,R,Clarke,Beaverdam,X
Roy May,State House,84,IND,Clarke,Beaverdam,X
Jim Hood,Governor,,D,Clarke,Carmichael,66
Tate Reeves,Governor,,R,Clarke,Carmichael,116
Bob Hickingbottom,Governor,,C,Clarke,Carmichael,3
David R Singletary,Governor,,IND,Clarke,Carmichael,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Carmichael,127
Jay Hughes,Lieutenant Governor,,D,Clarke,Carmichael,60
Johnny DuPree,Secretary of State,,D,Clarke,Carmichael,55
Michael Watson,Secretary of State,,R,Clarke,Carmichael,131
Jennifer Riley Collins,Attorney General,,D,Clarke,Carmichael,55
Lynn Fitch,Attorney General,,R,Clarke,Carmichael,132
Shad White,State Auditor,,R,Clarke,Carmichael,164
Addie Lee Green,State Treasurer,,D,Clarke,Carmichael,52
David McRae,State Treasurer,,R,Clarke,Carmichael,136
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Carmichael,52
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Carmichael,136
Jelf Tate,State Senate,33,R,Clarke,Carmichael,166
Omeria Scott,State House,80,D,Clarke,Carmichael,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Carmichael,X
Troy Smith,State House,84,R,Clarke,Carmichael,126
Roy May,State House,84,IND,Clarke,Carmichael,60
Jim Hood,Governor,,D,Clarke,Desoto,114
Tate Reeves,Governor,,R,Clarke,Desoto,84
Bob Hickingbottom,Governor,,C,Clarke,Desoto,0
David R Singletary,Governor,,IND,Clarke,Desoto,4
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Desoto,95
Jay Hughes,Lieutenant Governor,,D,Clarke,Desoto,101
Johnny DuPree,Secretary of State,,D,Clarke,Desoto,108
Michael Watson,Secretary of State,,R,Clarke,Desoto,88
Jennifer Riley Collins,Attorney General,,D,Clarke,Desoto,109
Lynn Fitch,Attorney General,,R,Clarke,Desoto,92
Shad White,State Auditor,,R,Clarke,Desoto,133
Addie Lee Green,State Treasurer,,D,Clarke,Desoto,96
David McRae,State Treasurer,,R,Clarke,Desoto,99
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Desoto,101
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Desoto,97
Jelf Tate,State Senate,33,R,Clarke,Desoto,134
Omeria Scott,State House,80,D,Clarke,Desoto,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Desoto,X
Troy Smith,State House,84,R,Clarke,Desoto,103
Roy May,State House,84,IND,Clarke,Desoto,84
Jim Hood,Governor,,D,Clarke,East Quitman,183
Tate Reeves,Governor,,R,Clarke,East Quitman,758
Bob Hickingbottom,Governor,,C,Clarke,East Quitman,7
David R Singletary,Governor,,IND,Clarke,East Quitman,16
Delbert Hosemann,Lieutenant Governor,,R,Clarke,East Quitman,845
Jay Hughes,Lieutenant Governor,,D,Clarke,East Quitman,116
Johnny DuPree,Secretary of State,,D,Clarke,East Quitman,97
Michael Watson,Secretary of State,,R,Clarke,East Quitman,859
Jennifer Riley Collins,Attorney General,,D,Clarke,East Quitman,113
Lynn Fitch,Attorney General,,R,Clarke,East Quitman,848
Shad White,State Auditor,,R,Clarke,East Quitman,905
Addie Lee Green,State Treasurer,,D,Clarke,East Quitman,90
David McRae,State Treasurer,,R,Clarke,East Quitman,865
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,East Quitman,95
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,East Quitman,858
Jelf Tate,State Senate,33,R,Clarke,East Quitman,917
Omeria Scott,State House,80,D,Clarke,East Quitman,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,East Quitman,X
Troy Smith,State House,84,R,Clarke,East Quitman,707
Roy May,State House,84,IND,Clarke,East Quitman,258
Jim Hood,Governor,,D,Clarke,Energy,10
Tate Reeves,Governor,,R,Clarke,Energy,120
Bob Hickingbottom,Governor,,C,Clarke,Energy,0
David R Singletary,Governor,,IND,Clarke,Energy,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Energy,120
Jay Hughes,Lieutenant Governor,,D,Clarke,Energy,6
Johnny DuPree,Secretary of State,,D,Clarke,Energy,6
Michael Watson,Secretary of State,,R,Clarke,Energy,122
Jennifer Riley Collins,Attorney General,,D,Clarke,Energy,4
Lynn Fitch,Attorney General,,R,Clarke,Energy,125
Shad White,State Auditor,,R,Clarke,Energy,114
Addie Lee Green,State Treasurer,,D,Clarke,Energy,2
David McRae,State Treasurer,,R,Clarke,Energy,127
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Energy,3
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Energy,126
Jelf Tate,State Senate,33,R,Clarke,Energy,124
Omeria Scott,State House,80,D,Clarke,Energy,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Energy,125
Troy Smith,State House,84,R,Clarke,Energy,X
Roy May,State House,84,IND,Clarke,Energy,X
Jim Hood,Governor,,D,Clarke,Enterprise,228
Tate Reeves,Governor,,R,Clarke,Enterprise,678
Bob Hickingbottom,Governor,,C,Clarke,Enterprise,1
David R Singletary,Governor,,IND,Clarke,Enterprise,16
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Enterprise,725
Jay Hughes,Lieutenant Governor,,D,Clarke,Enterprise,185
Johnny DuPree,Secretary of State,,D,Clarke,Enterprise,178
Michael Watson,Secretary of State,,R,Clarke,Enterprise,728
Jennifer Riley Collins,Attorney General,,D,Clarke,Enterprise,166
Lynn Fitch,Attorney General,,R,Clarke,Enterprise,747
Shad White,State Auditor,,R,Clarke,Enterprise,811
Addie Lee Green,State Treasurer,,D,Clarke,Enterprise,150
David McRae,State Treasurer,,R,Clarke,Enterprise,754
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Enterprise,159
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Enterprise,741
Jelf Tate,State Senate,33,R,Clarke,Enterprise,821
Omeria Scott,State House,80,D,Clarke,Enterprise,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Enterprise,X
Troy Smith,State House,84,R,Clarke,Enterprise,821
Roy May,State House,84,IND,Clarke,Enterprise,84
Jim Hood,Governor,,D,Clarke,Hopewell,60
Tate Reeves,Governor,,R,Clarke,Hopewell,52
Bob Hickingbottom,Governor,,C,Clarke,Hopewell,0
David R Singletary,Governor,,IND,Clarke,Hopewell,2
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Hopewell,54
Jay Hughes,Lieutenant Governor,,D,Clarke,Hopewell,59
Johnny DuPree,Secretary of State,,D,Clarke,Hopewell,55
Michael Watson,Secretary of State,,R,Clarke,Hopewell,56
Jennifer Riley Collins,Attorney General,,D,Clarke,Hopewell,55
Lynn Fitch,Attorney General,,R,Clarke,Hopewell,57
Shad White,State Auditor,,R,Clarke,Hopewell,75
Addie Lee Green,State Treasurer,,D,Clarke,Hopewell,54
David McRae,State Treasurer,,R,Clarke,Hopewell,55
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Hopewell,55
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Hopewell,57
Jelf Tate,State Senate,33,R,Clarke,Hopewell,76
Omeria Scott,State House,80,D,Clarke,Hopewell,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Hopewell,X
Troy Smith,State House,84,R,Clarke,Hopewell,67
Roy May,State House,84,IND,Clarke,Hopewell,36
Jim Hood,Governor,,D,Clarke,Harmony Dist. 1,35
Tate Reeves,Governor,,R,Clarke,Harmony Dist. 1,58
Bob Hickingbottom,Governor,,C,Clarke,Harmony Dist. 1,0
David R Singletary,Governor,,IND,Clarke,Harmony Dist. 1,3
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Harmony Dist. 1,64
Jay Hughes,Lieutenant Governor,,D,Clarke,Harmony Dist. 1,27
Johnny DuPree,Secretary of State,,D,Clarke,Harmony Dist. 1,29
Michael Watson,Secretary of State,,R,Clarke,Harmony Dist. 1,63
Jennifer Riley Collins,Attorney General,,D,Clarke,Harmony Dist. 1,31
Lynn Fitch,Attorney General,,R,Clarke,Harmony Dist. 1,63
Shad White,State Auditor,,R,Clarke,Harmony Dist. 1,78
Addie Lee Green,State Treasurer,,D,Clarke,Harmony Dist. 1,30
David McRae,State Treasurer,,R,Clarke,Harmony Dist. 1,60
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Harmony Dist. 1,28
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Harmony Dist. 1,62
Jelf Tate,State Senate,33,R,Clarke,Harmony Dist. 1,78
Omeria Scott,State House,80,D,Clarke,Harmony Dist. 1,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Harmony Dist. 1,X
Troy Smith,State House,84,R,Clarke,Harmony Dist. 1,72
