candidate,office,district,party,county,precinct,votes
Jim Hood,Governor,,D,Yazoo,Benton,213
Tate Reeves,Governor,,R,Yazoo,Benton,370
Bob Hickingbottom,Governor,,C,Yazoo,Benton,0
David R Singletary,Governor,,IND,Yazoo,Benton,8
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Benton,396
Jay Hughes,Lieutenant Governor,,D,Yazoo,Benton,174
Johnny DuPree,Secretary of State,,D,Yazoo,Benton,174
Michael Watson,Secretary of State,,R,Yazoo,Benton,397
Jennifer Riley Collins,Attorney General,,D,Yazoo,Benton,190
Lynn Fitch,Attorney General,,R,Yazoo,Benton,397
Shad White,State Auditor,,R,Yazoo,Benton,456
Addie Lee Green,State Treasurer,,D,Yazoo,Benton,172
David McRae,State Treasurer,,R,Yazoo,Benton,404
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Benton,180
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Benton,392
Barbara Blackmon,State Senate,21,D,Yazoo,Benton,
Hayes Dent,State Senate,22,R,Yazoo,Benton,400
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Benton,188
Briggs Hopson,State Senate,23,R,Yazoo,Benton,
Kenneth Walker,State House,27,D,Yazoo,Benton,
Bryant Clark,State House,47,D,Yazoo,Benton,408
Rufus E Straughter,State House,51,D,Yazoo,Benton,
Kevin Ford,State House,54,R,Yazoo,Benton,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Benton,
Jim Hood,Governor,,D,Yazoo,Center Ridge,79
Tate Reeves,Governor,,R,Yazoo,Center Ridge,275
Bob Hickingbottom,Governor,,C,Yazoo,Center Ridge,1
David R Singletary,Governor,,IND,Yazoo,Center Ridge,4
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Center Ridge,292
Jay Hughes,Lieutenant Governor,,D,Yazoo,Center Ridge,60
Johnny DuPree,Secretary of State,,D,Yazoo,Center Ridge,63
Michael Watson,Secretary of State,,R,Yazoo,Center Ridge,283
Jennifer Riley Collins,Attorney General,,D,Yazoo,Center Ridge,64
Lynn Fitch,Attorney General,,R,Yazoo,Center Ridge,291
Shad White,State Auditor,,R,Yazoo,Center Ridge,306
Addie Lee Green,State Treasurer,,D,Yazoo,Center Ridge,52
David McRae,State Treasurer,,R,Yazoo,Center Ridge,299
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Center Ridge,64
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Center Ridge,285
Barbara Blackmon,State Senate,21,D,Yazoo,Center Ridge,
Hayes Dent,State Senate,22,R,Yazoo,Center Ridge,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Center Ridge,
Briggs Hopson,State Senate,23,R,Yazoo,Center Ridge,307
Kenneth Walker,State House,27,D,Yazoo,Center Ridge,
Bryant Clark,State House,47,D,Yazoo,Center Ridge,
Rufus E Straughter,State House,51,D,Yazoo,Center Ridge,
Kevin Ford,State House,54,R,Yazoo,Center Ridge,296
Stephanie McKenzie Foster,State House,63,D,Yazoo,Center Ridge,
Jim Hood,Governor,,D,Yazoo,Deasonville,356
Tate Reeves,Governor,,R,Yazoo,Deasonville,201
Bob Hickingbottom,Governor,,C,Yazoo,Deasonville,2
David R Singletary,Governor,,IND,Yazoo,Deasonville,3
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Deasonville,254
Jay Hughes,Lieutenant Governor,,D,Yazoo,Deasonville,284
Johnny DuPree,Secretary of State,,D,Yazoo,Deasonville,313
Michael Watson,Secretary of State,,R,Yazoo,Deasonville,219
Jennifer Riley Collins,Attorney General,,D,Yazoo,Deasonville,333
Lynn Fitch,Attorney General,,R,Yazoo,Deasonville,215
Shad White,State Auditor,,R,Yazoo,Deasonville,356
Addie Lee Green,State Treasurer,,D,Yazoo,Deasonville,307
David McRae,State Treasurer,,R,Yazoo,Deasonville,226
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Deasonville,319
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Deasonville,214
Barbara Blackmon,State Senate,21,D,Yazoo,Deasonville,422
Hayes Dent,State Senate,22,R,Yazoo,Deasonville,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Deasonville,
Briggs Hopson,State Senate,23,R,Yazoo,Deasonville,
Kenneth Walker,State House,27,D,Yazoo,Deasonville,421
Bryant Clark,State House,47,D,Yazoo,Deasonville,
Rufus E Straughter,State House,51,D,Yazoo,Deasonville,
Kevin Ford,State House,54,R,Yazoo,Deasonville,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Deasonville,
Jim Hood,Governor,,D,Yazoo,East Bentonia,113
Tate Reeves,Governor,,R,Yazoo,East Bentonia,144
Bob Hickingbottom,Governor,,C,Yazoo,East Bentonia,0
David R Singletary,Governor,,IND,Yazoo,East Bentonia,0
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,East Bentonia,170
Jay Hughes,Lieutenant Governor,,D,Yazoo,East Bentonia,76
Johnny DuPree,Secretary of State,,D,Yazoo,East Bentonia,100
Michael Watson,Secretary of State,,R,Yazoo,East Bentonia,146
Jennifer Riley Collins,Attorney General,,D,Yazoo,East Bentonia,103
Lynn Fitch,Attorney General,,R,Yazoo,East Bentonia,148
Shad White,State Auditor,,R,Yazoo,East Bentonia,176
Addie Lee Green,State Treasurer,,D,Yazoo,East Bentonia,92
David McRae,State Treasurer,,R,Yazoo,East Bentonia,155
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,East Bentonia,103
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,East Bentonia,146
Barbara Blackmon,State Senate,21,D,Yazoo,East Bentonia,
Hayes Dent,State Senate,22,R,Yazoo,East Bentonia,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,East Bentonia,
Briggs Hopson,State Senate,23,R,Yazoo,East Bentonia,171
Kenneth Walker,State House,27,D,Yazoo,East Bentonia,
Bryant Clark,State House,47,D,Yazoo,East Bentonia,
Rufus E Straughter,State House,51,D,Yazoo,East Bentonia,
Kevin Ford,State House,54,R,Yazoo,East Bentonia,171
Stephanie McKenzie Foster,State House,63,D,Yazoo,East Bentonia,
Jim Hood,Governor,,D,Yazoo,Eden,54
Tate Reeves,Governor,,R,Yazoo,Eden,136
Bob Hickingbottom,Governor,,C,Yazoo,Eden,1
David R Singletary,Governor,,IND,Yazoo,Eden,2
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Eden,151
Jay Hughes,Lieutenant Governor,,D,Yazoo,Eden,3
Johnny DuPree,Secretary of State,,D,Yazoo,Eden,38
Michael Watson,Secretary of State,,R,Yazoo,Eden,144
Jennifer Riley Collins,Attorney General,,D,Yazoo,Eden,42
Lynn Fitch,Attorney General,,R,Yazoo,Eden,149
Shad White,State Auditor,,R,Yazoo,Eden,156
Addie Lee Green,State Treasurer,,D,Yazoo,Eden,37
David McRae,State Treasurer,,R,Yazoo,Eden,153
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Eden,40
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Eden,147
Barbara Blackmon,State Senate,21,D,Yazoo,Eden,
Hayes Dent,State Senate,22,R,Yazoo,Eden,148
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Eden,43
Briggs Hopson,State Senate,23,R,Yazoo,Eden,
Kenneth Walker,State House,27,D,Yazoo,Eden,
Bryant Clark,State House,47,D,Yazoo,Eden,111
Rufus E Straughter,State House,51,D,Yazoo,Eden,
Kevin Ford,State House,54,R,Yazoo,Eden,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Eden,
