county,precinct,office,district,candidate,party,votes
Franklin,Antioch,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Bad Bayou,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Bude,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Cains,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Eddiceton,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Hamburg,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Knoxville,President,,Roque 'Rocky' De La Fuente,REP,1
Franklin,Lucien,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,McCall,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Meadville,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Pine Grove,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Roxie,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Wesley Chapel,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,Whittington,President,,Roque 'Rocky' De La Fuente,REP,0
Franklin,TOTAL,President,,Roque 'Rocky' De La Fuente,REP,1
Franklin,Antioch,President,,Donald J. Trump,REP,80
Franklin,Bad Bayou,President,,Donald J. Trump,REP,166
Franklin,Bude,President,,Donald J. Trump,REP,103
Franklin,Cains,President,,Donald J. Trump,REP,87
Franklin,Eddiceton,President,,Donald J. Trump,REP,152
Franklin,Hamburg,President,,Donald J. Trump,REP,17
Franklin,Knoxville,President,,Donald J. Trump,REP,41
Franklin,Lucien,President,,Donald J. Trump,REP,59
Franklin,McCall,President,,Donald J. Trump,REP,114
Franklin,Meadville,President,,Donald J. Trump,REP,145
Franklin,Pine Grove,President,,Donald J. Trump,REP,58
Franklin,Roxie,President,,Donald J. Trump,REP,55
Franklin,Wesley Chapel,President,,Donald J. Trump,REP,14
Franklin,Whittington,President,,Donald J. Trump,REP,125
Franklin,TOTAL,President,,Donald J. Trump,REP,1216
Franklin,Antioch,President,,Bill Weld,REP,1
Franklin,Bad Bayou,President,,Bill Weld,REP,2
Franklin,Bude,President,,Bill Weld,REP,0
Franklin,Cains,President,,Bill Weld,REP,0
Franklin,Eddiceton,President,,Bill Weld,REP,0
Franklin,Hamburg,President,,Bill Weld,REP,0
Franklin,Knoxville,President,,Bill Weld,REP,0
Franklin,Lucien,President,,Bill Weld,REP,1
Franklin,McCall,President,,Bill Weld,REP,0
Franklin,Meadville,President,,Bill Weld,REP,1
Franklin,Pine Grove,President,,Bill Weld,REP,1
Franklin,Roxie,President,,Bill Weld,REP,1
Franklin,Wesley Chapel,President,,Bill Weld,REP,0
Franklin,Whittington,President,,Bill Weld,REP,1
Franklin,TOTAL,President,,Bill Weld,REP,8
Franklin,Antioch,U.S. Senate,,Cindy Hyde-Smith,REP,75
Franklin,Bad Bayou,U.S. Senate,,Cindy Hyde-Smith,REP,166
Franklin,Bude,U.S. Senate,,Cindy Hyde-Smith,REP,101
Franklin,Cains,U.S. Senate,,Cindy Hyde-Smith,REP,84
Franklin,Eddiceton,U.S. Senate,,Cindy Hyde-Smith,REP,141
Franklin,Hamburg,U.S. Senate,,Cindy Hyde-Smith,REP,17
Franklin,Knoxville,U.S. Senate,,Cindy Hyde-Smith,REP,39
Franklin,Lucien,U.S. Senate,,Cindy Hyde-Smith,REP,60
Franklin,McCall,U.S. Senate,,Cindy Hyde-Smith,REP,112
Franklin,Meadville,U.S. Senate,,Cindy Hyde-Smith,REP,146
Franklin,Pine Grove,U.S. Senate,,Cindy Hyde-Smith,REP,55
Franklin,Roxie,U.S. Senate,,Cindy Hyde-Smith,REP,55
Franklin,Wesley Chapel,U.S. Senate,,Cindy Hyde-Smith,REP,14
Franklin,Whittington,U.S. Senate,,Cindy Hyde-Smith,REP,122
Franklin,TOTAL,U.S. Senate,,Cindy Hyde-Smith,REP,1187
Franklin,Antioch,U.S. House,3,Michael Guest,REP,69
Franklin,Bad Bayou,U.S. House,3,Michael Guest,REP,133
Franklin,Bude,U.S. House,3,Michael Guest,REP,92
Franklin,Cains,U.S. House,3,Michael Guest,REP,74
Franklin,Eddiceton,U.S. House,3,Michael Guest,REP,141
Franklin,Hamburg,U.S. House,3,Michael Guest,REP,11
Franklin,Knoxville,U.S. House,3,Michael Guest,REP,35
Franklin,Lucien,U.S. House,3,Michael Guest,REP,49
Franklin,McCall,U.S. House,3,Michael Guest,REP,106
Franklin,Meadville,U.S. House,3,Michael Guest,REP,128
Franklin,Pine Grove,U.S. House,3,Michael Guest,REP,53
Franklin,Roxie,U.S. House,3,Michael Guest,REP,48
Franklin,Wesley Chapel,U.S. House,3,Michael Guest,REP,12
Franklin,Whittington,U.S. House,3,Michael Guest,REP,102
Franklin,TOTAL,U.S. House,3,Michael Guest,REP,1053
Franklin,Antioch,U.S. House,3,James Tulp,REP,7
Franklin,Bad Bayou,U.S. House,3,James Tulp,REP,32
Franklin,Bude,U.S. House,3,James Tulp,REP,8
Franklin,Cains,U.S. House,3,James Tulp,REP,10
Franklin,Eddiceton,U.S. House,3,James Tulp,REP,7
Franklin,Hamburg,U.S. House,3,James Tulp,REP,6
Franklin,Knoxville,U.S. House,3,James Tulp,REP,6
Franklin,Lucien,U.S. House,3,James Tulp,REP,9
Franklin,McCall,U.S. House,3,James Tulp,REP,8
Franklin,Meadville,U.S. House,3,James Tulp,REP,17
Franklin,Pine Grove,U.S. House,3,James Tulp,REP,6
Franklin,Roxie,U.S. House,3,James Tulp,REP,4
Franklin,Wesley Chapel,U.S. House,3,James Tulp,REP,0
Franklin,Whittington,U.S. House,3,James Tulp,REP,19
Franklin,TOTAL,U.S. House,3,James Tulp,REP,139
Franklin,Antioch,President,,Joseph R. Biden,DEM,82
Franklin,Bad Bayou,President,,Joseph R. Biden,DEM,5
Franklin,Bude,President,,Joseph R. Biden,DEM,157
Franklin,Cains,President,,Joseph R. Biden,DEM,25
Franklin,Eddiceton,President,,Joseph R. Biden,DEM,12
Franklin,Hamburg,President,,Joseph R. Biden,DEM,75
Franklin,Knoxville,President,,Joseph R. Biden,DEM,29
Franklin,Lucien,President,,Joseph R. Biden,DEM,12
Franklin,McCall,President,,Joseph R. Biden,DEM,30
Franklin,Meadville,President,,Joseph R. Biden,DEM,25
Franklin,Pine Grove,President,,Joseph R. Biden,DEM,2
Franklin,Roxie,President,,Joseph R. Biden,DEM,126
Franklin,Wesley Chapel,President,,Joseph R. Biden,DEM,31
Franklin,Whittington,President,,Joseph R. Biden,DEM,13
Franklin,TOTAL,President,,Joseph R. Biden,DEM,624
Franklin,Antioch,President,,Michael R. Bloomberg,DEM,2
Franklin,Bad Bayou,President,,Michael R. Bloomberg,DEM,1
Franklin,Bude,President,,Michael R. Bloomberg,DEM,13
Franklin,Cains,President,,Michael R. Bloomberg,DEM,0
Franklin,Eddiceton,President,,Michael R. Bloomberg,DEM,1
Franklin,Hamburg,President,,Michael R. Bloomberg,DEM,7
Franklin,Knoxville,President,,Michael R. Bloomberg,DEM,2
Franklin,Lucien,President,,Michael R. Bloomberg,DEM,0
Franklin,McCall,President,,Michael R. Bloomberg,DEM,2
Franklin,Meadville,President,,Michael R. Bloomberg,DEM,0
Franklin,Pine Grove,President,,Michael R. Bloomberg,DEM,0
Franklin,Roxie,President,,Michael R. Bloomberg,DEM,9
Franklin,Wesley Chapel,President,,Michael R. Bloomberg,DEM,2
Franklin,Whittington,President,,Michael R. Bloomberg,DEM,1
Franklin,TOTAL,President,,Michael R. Bloomberg,DEM,40
Franklin,Antioch,President,,Pete Buttigieg,DEM,0
Franklin,Bad Bayou,President,,Pete Buttigieg,DEM,0
Franklin,Bude,President,,Pete Buttigieg,DEM,1
Franklin,Cains,President,,Pete Buttigieg,DEM,0
Franklin,Eddiceton,President,,Pete Buttigieg,DEM,0
Franklin,Hamburg,President,,Pete Buttigieg,DEM,0
Franklin,Knoxville,President,,Pete Buttigieg,DEM,0
Franklin,Lucien,President,,Pete Buttigieg,DEM,0
Franklin,McCall,President,,Pete Buttigieg,DEM,1
Franklin,Meadville,President,,Pete Buttigieg,DEM,0
Franklin,Pine Grove,President,,Pete Buttigieg,DEM,0
Franklin,Roxie,President,,Pete Buttigieg,DEM,0
Franklin,Wesley Chapel,President,,Pete Buttigieg,DEM,0
Franklin,Whittington,President,,Pete Buttigieg,DEM,0
Franklin,TOTAL,President,,Pete Buttigieg,DEM,2
Franklin,Antioch,President,,Tulsl Gabbard,DEM,0
Franklin,Bad Bayou,President,,Tulsl Gabbard,DEM,0
Franklin,Bude,President,,Tulsl Gabbard,DEM,0
Franklin,Cains,President,,Tulsl Gabbard,DEM,0
Franklin,Eddiceton,President,,Tulsl Gabbard,DEM,0
Franklin,Hamburg,President,,Tulsl Gabbard,DEM,0
Franklin,Knoxville,President,,Tulsl Gabbard,DEM,0
Franklin,Lucien,President,,Tulsl Gabbard,DEM,0
Franklin,McCall,President,,Tulsl Gabbard,DEM,0
Franklin,Meadville,President,,Tulsl Gabbard,DEM,0
Franklin,Pine Grove,President,,Tulsl Gabbard,DEM,0
Franklin,Roxie,President,,Tulsl Gabbard,DEM,0
Franklin,Wesley Chapel,President,,Tulsl Gabbard,DEM,0
Franklin,Whittington,President,,Tulsl Gabbard,DEM,1
Franklin,TOTAL,President,,Tulsl Gabbard,DEM,1
Franklin,Antioch,President,,Amy Klobuchar,DEM,0
Franklin,Bad Bayou,President,,Amy Klobuchar,DEM,0
Franklin,Bude,President,,Amy Klobuchar,DEM,0
Franklin,Cains,President,,Amy Klobuchar,DEM,0
Franklin,Eddiceton,President,,Amy Klobuchar,DEM,0
Franklin,Hamburg,President,,Amy Klobuchar,DEM,0
Franklin,Knoxville,President,,Amy Klobuchar,DEM,0
Franklin,Lucien,President,,Amy Klobuchar,DEM,0
Franklin,McCall,President,,Amy Klobuchar,DEM,0
Franklin,Meadville,President,,Amy Klobuchar,DEM,0
Franklin,Pine Grove,President,,Amy Klobuchar,DEM,0
Franklin,Roxie,President,,Amy Klobuchar,DEM,0
Franklin,Wesley Chapel,President,,Amy Klobuchar,DEM,0
Franklin,Whittington,President,,Amy Klobuchar,DEM,0
Franklin,TOTAL,President,,Amy Klobuchar,DEM,0
Franklin,Antioch,President,,Deval Patrick,DEM,0
Franklin,Bad Bayou,President,,Deval Patrick,DEM,0
Franklin,Bude,President,,Deval Patrick,DEM,1
Franklin,Cains,President,,Deval Patrick,DEM,0
Franklin,Eddiceton,President,,Deval Patrick,DEM,0
Franklin,Hamburg,President,,Deval Patrick,DEM,0
Franklin,Knoxville,President,,Deval Patrick,DEM,0
Franklin,Lucien,President,,Deval Patrick,DEM,0
Franklin,McCall,President,,Deval Patrick,DEM,0
Franklin,Meadville,President,,Deval Patrick,DEM,0
Franklin,Pine Grove,President,,Deval Patrick,DEM,0
Franklin,Roxie,President,,Deval Patrick,DEM,0
Franklin,Wesley Chapel,President,,Deval Patrick,DEM,0
Franklin,Whittington,President,,Deval Patrick,DEM,0
Franklin,TOTAL,President,,Deval Patrick,DEM,1
Franklin,Antioch,President,,Bernie Sanders,DEM,13
Franklin,Bad Bayou,President,,Bernie Sanders,DEM,2
Franklin,Bude,President,,Bernie Sanders,DEM,53
Franklin,Cains,President,,Bernie Sanders,DEM,8
Franklin,Eddiceton,President,,Bernie Sanders,DEM,4
Franklin,Hamburg,President,,Bernie Sanders,DEM,18
Franklin,Knoxville,President,,Bernie Sanders,DEM,12
Franklin,Lucien,President,,Bernie Sanders,DEM,0
Franklin,McCall,President,,Bernie Sanders,DEM,8
Franklin,Meadville,President,,Bernie Sanders,DEM,6
Franklin,Pine Grove,President,,Bernie Sanders,DEM,2
Franklin,Roxie,President,,Bernie Sanders,DEM,22
Franklin,Wesley Chapel,President,,Bernie Sanders,DEM,6
Franklin,Whittington,President,,Bernie Sanders,DEM,1
Franklin,TOTAL,President,,Bernie Sanders,DEM,155
Franklin,Antioch,President,,Tom Steyer,DEM,0
Franklin,Bad Bayou,President,,Tom Steyer,DEM,0
Franklin,Bude,President,,Tom Steyer,DEM,0
Franklin,Cains,President,,Tom Steyer,DEM,0
Franklin,Eddiceton,President,,Tom Steyer,DEM,0
Franklin,Hamburg,President,,Tom Steyer,DEM,0
Franklin,Knoxville,President,,Tom Steyer,DEM,0
Franklin,Lucien,President,,Tom Steyer,DEM,0
Franklin,McCall,President,,Tom Steyer,DEM,0
Franklin,Meadville,President,,Tom Steyer,DEM,0
Franklin,Pine Grove,President,,Tom Steyer,DEM,0
Franklin,Roxie,President,,Tom Steyer,DEM,0
Franklin,Wesley Chapel,President,,Tom Steyer,DEM,0
Franklin,Whittington,President,,Tom Steyer,DEM,0
Franklin,TOTAL,President,,Tom Steyer,DEM,0
Franklin,Antioch,President,,Elizabeth Warren,DEM,0
Franklin,Bad Bayou,President,,Elizabeth Warren,DEM,0
Franklin,Bude,President,,Elizabeth Warren,DEM,2
