candidate,office,district,party,county,precinct,votes
Joseph R. Biden,President,,D,Hinds,Bolton,738
Donald J. Trump,President,,R,Hinds,Bolton,281
Don Blankenship,President,,AC,Hinds,Bolton,1
Brian Carroll,President,,AS,Hinds,Bolton,0
Phil Collins,President,,IND,Hinds,Bolton,1
Howie Hawkins,President,,G,Hinds,Bolton,1
Jo Jorgensen,President,,L,Hinds,Bolton,4
Brock Pierce,President,,IND,Hinds,Bolton,1
Kanye West,President,,IND,Hinds,Bolton,5
Mike Espy,U.S. Senate,,D,Hinds,Bolton,759
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Bolton,265
Jimmy L Edwards,U.S. Senate,,L,Hinds,Bolton,6
Brian Flowers,U.S. House,2,R,Hinds,Bolton,266
Bennie G Thompson,U.S. House,2,D,Hinds,Bolton,771
Joseph R. Biden,President,,D,Hinds,Brownsville,208
Donald J. Trump,President,,R,Hinds,Brownsville,237
Don Blankenship,President,,AC,Hinds,Brownsville,0
Brian Carroll,President,,AS,Hinds,Brownsville,0
Phil Collins,President,,IND,Hinds,Brownsville,0
Howie Hawkins,President,,G,Hinds,Brownsville,0
Jo Jorgensen,President,,L,Hinds,Brownsville,2
Brock Pierce,President,,IND,Hinds,Brownsville,0
Kanye West,President,,IND,Hinds,Brownsville,0
Mike Espy,U.S. Senate,,D,Hinds,Brownsville,216
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Brownsville,217
Jimmy L Edwards,U.S. Senate,,L,Hinds,Brownsville,8
Brian Flowers,U.S. House,2,R,Hinds,Brownsville,238
Bennie G Thompson,U.S. House,2,D,Hinds,Brownsville,211
Joseph R. Biden,President,,D,Hinds,Byram 1,1765
Donald J. Trump,President,,R,Hinds,Byram 1,419
Don Blankenship,President,,AC,Hinds,Byram 1,2
Brian Carroll,President,,AS,Hinds,Byram 1,0
Phil Collins,President,,IND,Hinds,Byram 1,7
Howie Hawkins,President,,G,Hinds,Byram 1,2
Jo Jorgensen,President,,L,Hinds,Byram 1,8
Brock Pierce,President,,IND,Hinds,Byram 1,1
Kanye West,President,,IND,Hinds,Byram 1,7
Mike Espy,U.S. Senate,,D,Hinds,Byram 1,1809
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Byram 1,377
Jimmy L Edwards,U.S. Senate,,L,Hinds,Byram 1,21
Brian Flowers,U.S. House,2,R,Hinds,Byram 1,425
Bennie G Thompson,U.S. House,2,D,Hinds,Byram 1,1785
Joseph R. Biden,President,,D,Hinds,Byram 2,952
Donald J. Trump,President,,R,Hinds,Byram 2,851
Don Blankenship,President,,AC,Hinds,Byram 2,3
Brian Carroll,President,,AS,Hinds,Byram 2,0
Phil Collins,President,,IND,Hinds,Byram 2,0
Howie Hawkins,President,,G,Hinds,Byram 2,0
Jo Jorgensen,President,,L,Hinds,Byram 2,2
Brock Pierce,President,,IND,Hinds,Byram 2,1
Kanye West,President,,IND,Hinds,Byram 2,2
Mike Espy,U.S. Senate,,D,Hinds,Byram 2,970
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Byram 2,819
Jimmy L Edwards,U.S. Senate,,L,Hinds,Byram 2,13
Brian Flowers,U.S. House,2,R,Hinds,Byram 2,842
Bennie G Thompson,U.S. House,2,D,Hinds,Byram 2,953
Joseph R. Biden,President,,D,Hinds,Byram 3,1079
Donald J. Trump,President,,R,Hinds,Byram 3,272
Don Blankenship,President,,AC,Hinds,Byram 3,0
Brian Carroll,President,,AS,Hinds,Byram 3,1
Phil Collins,President,,IND,Hinds,Byram 3,2
Howie Hawkins,President,,G,Hinds,Byram 3,0
Jo Jorgensen,President,,L,Hinds,Byram 3,1
Brock Pierce,President,,IND,Hinds,Byram 3,0
Kanye West,President,,IND,Hinds,Byram 3,3
Mike Espy,U.S. Senate,,D,Hinds,Byram 3,1108
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Byram 3,250
Jimmy L Edwards,U.S. Senate,,L,Hinds,Byram 3,2
Brian Flowers,U.S. House,2,R,Hinds,Byram 3,268
Bennie G Thompson,U.S. House,2,D,Hinds,Byram 3,1092
Joseph R. Biden,President,,D,Hinds,Cayuga,173
Donald J. Trump,President,,R,Hinds,Cayuga,97
Don Blankenship,President,,AC,Hinds,Cayuga,1
Brian Carroll,President,,AS,Hinds,Cayuga,0
