county,precinct,office,district,candidate,party,votes
Clarke,Beaverdam,U.S. House,3,Michael Guest,R,45
Clarke,Beaverdam,U.S. House,3,Shuwaski A. Young,D,71
Clarke,Desoto,U.S. House,3,Michael Guest,R,113
Clarke,Desoto,U.S. House,3,Shuwaski A. Young,D,33
Clarke,Carmichael,U.S. House,3,Michael Guest,R,70
Clarke,Carmichael,U.S. House,3,Shuwaski A. Young,D,55
Clarke,East Quitman,U.S. House,3,Michael Guest,R,662
Clarke,East Quitman,U.S. House,3,Shuwaski A. Young,D,51
Clarke,Energy,U.S. House,3,Michael Guest,R,119
Clarke,Energy,U.S. House,3,Shuwaski A. Young,D,4
Clarke,Enterprise,U.S. House,3,Michael Guest,R,596
Clarke,Enterprise,U.S. House,3,Shuwaski A. Young,D,102
Clarke,Hopewell,U.S. House,3,Michael Guest,R,49
Clarke,Hopewell,U.S. House,3,Shuwaski A. Young,D,43
Clarke,Harmony Dist. 1,U.S. House,3,Michael Guest,R,58
Clarke,Harmony Dist. 1,U.S. House,3,Shuwaski A. Young,D,21
Clarke,Harmony Dist. 2,U.S. House,3,Michael Guest,R,120
Clarke,Harmony Dist. 2,U.S. House,3,Shuwaski A. Young,D,46
Clarke,Langsdale,U.S. House,3,Michael Guest,R,8
Clarke,Langsdale,U.S. House,3,Shuwaski A. Young,D,15
Clarke,Manassa,U.S. House,3,Michael Guest,R,78
Clarke,Manassa,U.S. House,3,Shuwaski A. Young,D,1
Clarke,North Quitman,U.S. House,3,Michael Guest,R,167
Clarke,North Quitman,U.S. House,3,Shuwaski A. Young,D,33
Clarke,Oakgrove,U.S. House,3,Michael Guest,R,49
Clarke,Oakgrove,U.S. House,3,Shuwaski A. Young,D,91
Clarke,Pachuta,U.S. House,3,Michael Guest,R,57
Clarke,Pachuta,U.S. House,3,Shuwaski A. Young,D,83
Clarke,Rolling Creek,U.S. House,3,Michael Guest,R,150
Clarke,Rolling Creek,U.S. House,3,Shuwaski A. Young,D,11
Clarke,Shubuta,U.S. House,3,Michael Guest,R,61
Clarke,Shubuta,U.S. House,3,Shuwaski A. Young,D,166
Clarke,Snell,U.S. House,3,Michael Guest,R,121
Clarke,Snell,U.S. House,3,Shuwaski A. Young,D,2
Clarke,Souinlovie,U.S. House,3,Michael Guest,R,12
Clarke,Souinlovie,U.S. House,3,Shuwaski A. Young,D,15
Clarke,South Quitman,U.S. House,3,Michael Guest,R,183
Clarke,South Quitman,U.S. House,3,Shuwaski A. Young,D,181
Clarke,Springs,U.S. House,3,Michael Guest,R,34
Clarke,Springs,U.S. House,3,Shuwaski A. Young,D,45
Clarke,Stonewall Dist. 3,U.S. House,3,Michael Guest,R,208
Clarke,Stonewall Dist. 3,U.S. House,3,Shuwaski A. Young,D,33
Clarke,Stonewall Dist. 1,U.S. House,3,Michael Guest,R,66
Clarke,Stonewall Dist. 1,U.S. House,3,Shuwaski A. Young,D,85
Clarke,Union,U.S. House,3,Michael Guest,R,377
Clarke,Union,U.S. House,3,Shuwaski A. Young,D,16
