county,precinct,office,district,party,candidate,votes
WILKINSON,centreville 1st 1020,U.S. House,2,Republican,Brian Flowers,50
WILKINSON,centreville 1st 1020,U.S. House,2,Democrat,Bennie G. Thompson,187
WILKINSON,centreville 1st 1020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,84
WILKINSON,centreville 1st 1020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,124
WILKINSON,centreville 1st 1020,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,203
WILKINSON,centreville 1st 1020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,96
WILKINSON,centreville 1st 1020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,109
WILKINSON,centreville 1st 1020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,23
WILKINSON,centreville 1st 1020,School Board District 1-School Board District 1,1,Independent,Frederick Anderson,212
WILKINSON,centreville 3rd 3010,U.S. House,2,Republican,Brian Flowers,224
WILKINSON,centreville 3rd 3010,U.S. House,2,Democrat,Bennie G. Thompson,242
WILKINSON,centreville 3rd 3010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,189
WILKINSON,centreville 3rd 3010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,231
WILKINSON,centreville 3rd 3010,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,397
WILKINSON,centreville 3rd 3010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,162
WILKINSON,centreville 3rd 3010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,180
WILKINSON,centreville 3rd 3010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,99
WILKINSON,cold springs 4020,U.S. House,2,Republican,Brian Flowers,49
WILKINSON,cold springs 4020,U.S. House,2,Democrat,Bennie G. Thompson,58
WILKINSON,cold springs 4020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,45
WILKINSON,cold springs 4020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,49
WILKINSON,cold springs 4020,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,86
WILKINSON,cold springs 4020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,29
WILKINSON,cold springs 4020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,35
WILKINSON,cold springs 4020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,40
WILKINSON,fort adams 2020,U.S. House,2,Republican,Brian Flowers,33
WILKINSON,fort adams 2020,U.S. House,2,Democrat,Bennie G. Thompson,82
WILKINSON,fort adams 2020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,50
WILKINSON,fort adams 2020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,48
WILKINSON,fort adams 2020,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,98
WILKINSON,fort adams 2020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,52
WILKINSON,fort adams 2020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,45
WILKINSON,fort adams 2020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,17
WILKINSON,fort adams 2020,School Board District 2-School Board District 2,2,Independent,Thomas Fountain,28
WILKINSON,fort adams 2020,School Board District 2-School Board District 2,2,Independent,Leticia Gaines,26
WILKINSON,fort adams 2020,School Board District 2-School Board District 2,2,Independent,Benard 'Bennie' Robinson Sr,12
WILKINSON,fort adams 2020,School Board District 2-School Board District 2,2,Independent,Timothy 'Timmy' T Scott,26
WILKINSON,fort adams 2020,School Board District 2-School Board District 2,2,Independent,Elease Bynum Sullivan,21
WILKINSON,longmire 5020,U.S. House,2,Republican,Brian Flowers,126
WILKINSON,longmire 5020,U.S. House,2,Democrat,Bennie G. Thompson,84
WILKINSON,longmire 5020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,84
WILKINSON,longmire 5020,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,89
WILKINSON,longmire 5020,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,162
WILKINSON,longmire 5020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,76
WILKINSON,longmire 5020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,63
WILKINSON,longmire 5020,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,64
WILKINSON,woodville 5th 5010,U.S. House,2,Republican,Brian Flowers,152
WILKINSON,woodville 5th 5010,U.S. House,2,Democrat,Bennie G. Thompson,141
WILKINSON,woodville 5th 5010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,102
WILKINSON,woodville 5th 5010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,164
WILKINSON,woodville 5th 5010,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,257
WILKINSON,woodville 5th 5010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,70
WILKINSON,woodville 5th 5010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,140
WILKINSON,woodville 5th 5010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,75
WILKINSON,woodville 4th 4010,U.S. House,2,Republican,Brian Flowers,77
WILKINSON,woodville 4th 4010,U.S. House,2,Democrat,Bennie G. Thompson,332
WILKINSON,woodville 4th 4010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,166
WILKINSON,woodville 4th 4010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,190
WILKINSON,woodville 4th 4010,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,347
WILKINSON,woodville 4th 4010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,187
WILKINSON,woodville 4th 4010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,181
WILKINSON,woodville 4th 4010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,32
WILKINSON,woodville 1010,U.S. House,2,Republican,Brian Flowers,76
WILKINSON,woodville 1010,U.S. House,2,Democrat,Bennie G. Thompson,131
WILKINSON,woodville 1010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,83
WILKINSON,woodville 1010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,89
WILKINSON,woodville 1010,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,164
WILKINSON,woodville 1010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,81
WILKINSON,woodville 1010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,79
WILKINSON,woodville 1010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,39
WILKINSON,woodville 1010,School Board District 1-School Board District 1,1,Independent,Frederick Anderson,164
WILKINSON,woodville 2nd 2010,U.S. House,2,Republican,Brian Flowers,59
WILKINSON,woodville 2nd 2010,U.S. House,2,Democrat,Bennie G. Thompson,292
WILKINSON,woodville 2nd 2010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,133
WILKINSON,woodville 2nd 2010,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,152
WILKINSON,woodville 2nd 2010,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,282
WILKINSON,woodville 2nd 2010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,135
WILKINSON,woodville 2nd 2010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,178
WILKINSON,woodville 2nd 2010,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,27
WILKINSON,woodville 2nd 2010,School Board District 2-School Board District 2,2,Independent,Thomas Fountain,70
WILKINSON,woodville 2nd 2010,School Board District 2-School Board District 2,2,Independent,Leticia Gaines,52
WILKINSON,woodville 2nd 2010,School Board District 2-School Board District 2,2,Independent,Benard 'Bennie' Robinson Sr,20
WILKINSON,woodville 2nd 2010,School Board District 2-School Board District 2,2,Independent,Timothy 'Timmy' T Scott,79
WILKINSON,woodville 2nd 2010,School Board District 2-School Board District 2,2,Independent,Elease Bynum Sullivan,128
WILKINSON,total,U.S. House,2,Republican,Brian Flowers,846
WILKINSON,total,U.S. House,2,Democrat,Bennie G. Thompson,1549
WILKINSON,total,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Bruce W. Burton,931
WILKINSON,total,Court Of Appeals 04-District 4  Position 1,,Nonpartisan,Virginia Carlton,1136
WILKINSON,total,Chancery Court 17-2-Chancery District 17-2,17,Nonpartisan,George Ward,1996
WILKINSON,total,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Lydia Roberta Blackmon,888
WILKINSON,total,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Carmen Brooks Drake,1010
WILKINSON,total,Circuit Court 6-1-Circuit District 6-1,,Nonpartisan,Scott J. Pintard,416
WILKINSON,total,School Board District 1-School Board District 1,1,Independent,Frederick Anderson,376
WILKINSON,total,School Board District 2-School Board District 2,2,Independent,Thomas Fountain,98
WILKINSON,total,School Board District 2-School Board District 2,2,Independent,Leticia Gaines,78
WILKINSON,total,School Board District 2-School Board District 2,2,Independent,Benard 'Bennie' Robinson Sr,32
WILKINSON,total,School Board District 2-School Board District 2,2,Independent,Timothy 'Timmy' T Scott,105
WILKINSON,total,School Board District 2-School Board District 2,2,Independent,Elease Bynum Sullivan,149
