county,office,district,party,candidate,votes
Adams,U.S. House,2,REP,Kevin Wilson,1777
Adams,U.S. House,2,REP,Ron Eller,154
Adams,U.S. Senate,,REP,Cindy Hyde-Smith,1640
Adams,U.S. Senate,,REP,Sarah Adlakha,262
Alcorn,U.S. House,1,REP,Trent Kelly,1633
Alcorn,U.S. Senate,,REP,Cindy Hyde-Smith,1473
Alcorn,U.S. Senate,,REP,Sarah Adlakha,269
Amite,U.S. House,2,REP,Kevin Wilson,718
Amite,U.S. House,2,REP,Ron Eller,509
Amite,U.S. Senate,,REP,Cindy Hyde-Smith,1067
Amite,U.S. Senate,,REP,Sarah Adlakha,172
Attala,U.S. House,2,REP,Kevin Wilson,388
Attala,U.S. House,2,REP,Ron Eller,525
Attala,U.S. Senate,,REP,Cindy Hyde-Smith,812
Attala,U.S. Senate,,REP,Sarah Adlakha,143
Benton,U.S. House,1,REP,Trent Kelly,283
Benton,U.S. Senate,,REP,Cindy Hyde-Smith,255
Benton,U.S. Senate,,REP,Sarah Adlakha,58
Bolivar,U.S. House,2,REP,Kevin Wilson,359
Bolivar,U.S. House,2,REP,Ron Eller,453
Bolivar,U.S. Senate,,REP,Cindy Hyde-Smith,755
Bolivar,U.S. Senate,,REP,Sarah Adlakha,80
Calhoun,U.S. House,1,REP,Trent Kelly,1102
Calhoun,U.S. Senate,,REP,Cindy Hyde-Smith,975
Calhoun,U.S. Senate,,REP,Sarah Adlakha,149
Carroll,U.S. House,2,REP,Kevin Wilson,305
Carroll,U.S. House,2,REP,Ron Eller,434
Carroll,U.S. Senate,,REP,Cindy Hyde-Smith,650
Carroll,U.S. Senate,,REP,Sarah Adlakha,108
Chickasaw,U.S. House,1,REP,Trent Kelly,967
Chickasaw,U.S. Senate,,REP,Cindy Hyde-Smith,897
Chickasaw,U.S. Senate,,REP,Sarah Adlakha,121
Choctaw,U.S. House,1,REP,Trent Kelly,602
Choctaw,U.S. Senate,,REP,Cindy Hyde-Smith,513
Choctaw,U.S. Senate,,REP,Sarah Adlakha,106
Claiborne,U.S. House,2,REP,Kevin Wilson,40
Claiborne,U.S. House,2,REP,Ron Eller,67
Claiborne,U.S. Senate,,REP,Cindy Hyde-Smith,99
Claiborne,U.S. Senate,,REP,Sarah Adlakha,11
Clarke,U.S. House,3,REP,Michael Guest,936
Clarke,U.S. Senate,,REP,Cindy Hyde-Smith,807
Clarke,U.S. Senate,,REP,Sarah Adlakha,181
Clay,U.S. House,1,REP,Trent Kelly,853
Clay,U.S. Senate,,REP,Cindy Hyde-Smith,819
Clay,U.S. Senate,,REP,Sarah Adlakha,79
Coahoma,U.S. House,2,REP,Kevin Wilson,110
Coahoma,U.S. House,2,REP,Ron Eller,147
Coahoma,U.S. Senate,,REP,Cindy Hyde-Smith,243
Coahoma,U.S. Senate,,REP,Sarah Adlakha,31
Copiah,U.S. House,2,REP,Kevin Wilson,665
Copiah,U.S. House,2,REP,Ron Eller,1025
Copiah,U.S. Senate,,REP,Cindy Hyde-Smith,1519
Copiah,U.S. Senate,,REP,Sarah Adlakha,221
Covington,U.S. House,3,REP,Michael Guest,1110
Covington,U.S. Senate,,REP,Cindy Hyde-Smith,978
Covington,U.S. Senate,,REP,Sarah Adlakha,195
DeSoto,U.S. House,1,REP,Trent Kelly,7628
DeSoto,U.S. Senate,,REP,Cindy Hyde-Smith,6599
DeSoto,U.S. Senate,,REP,Sarah Adlakha,1338
Forrest,U.S. House,4,REP,Mike Ezell,3199
