county,precinct,office,district,candidate,party,votes
Chickasaw,Anchor 001,U.S. House,1,Cliff Johnson,DEM,33
Chickasaw,Anchor 001,U.S. House,1,Kelvin Buck,DEM,28
Chickasaw,Anchor 001,U.S. House,1,Trent Kelly,REP,146
Chickasaw,Anchor 001,U.S. Senate,,Albert R. Littell,DEM,2
Chickasaw,Anchor 001,U.S. Senate,,Priscilla W. Till,DEM,2
Chickasaw,Anchor 001,U.S. Senate,,Scott Colom,DEM,57
Chickasaw,Anchor 001,U.S. Senate,,Cindy Hyde-Smith,REP,141
Chickasaw,Anchor 001,U.S. Senate,,Sarah Adlakha,REP,13
Chickasaw,Buena Vista 002,U.S. House,1,Cliff Johnson,DEM,112
Chickasaw,Buena Vista 002,U.S. House,1,Kelvin Buck,DEM,50
Chickasaw,Buena Vista 002,U.S. House,1,Trent Kelly,REP,31
Chickasaw,Buena Vista 002,U.S. Senate,,Albert R. Littell,DEM,4
Chickasaw,Buena Vista 002,U.S. Senate,,Priscilla W. Till,DEM,5
Chickasaw,Buena Vista 002,U.S. Senate,,Scott Colom,DEM,156
Chickasaw,Buena Vista 002,U.S. Senate,,Cindy Hyde-Smith,REP,23
Chickasaw,Buena Vista 002,U.S. Senate,,Sarah Adlakha,REP,9
Chickasaw,East Okolona 004,U.S. House,1,Cliff Johnson,DEM,115
Chickasaw,East Okolona 004,U.S. House,1,Kelvin Buck,DEM,85
Chickasaw,East Okolona 004,U.S. House,1,Trent Kelly,REP,11
Chickasaw,East Okolona 004,U.S. Senate,,Albert R. Littell,DEM,6
Chickasaw,East Okolona 004,U.S. Senate,,Priscilla W. Till,DEM,13
Chickasaw,East Okolona 004,U.S. Senate,,Scott Colom,DEM,185
Chickasaw,East Okolona 004,U.S. Senate,,Cindy Hyde-Smith,REP,7
Chickasaw,East Okolona 004,U.S. Senate,,Sarah Adlakha,REP,4
Chickasaw,Egypt 003,U.S. House,1,Cliff Johnson,DEM,80
Chickasaw,Egypt 003,U.S. House,1,Kelvin Buck,DEM,29
Chickasaw,Egypt 003,U.S. House,1,Trent Kelly,REP,33
Chickasaw,Egypt 003,U.S. Senate,,Albert R. Littell,DEM,4
Chickasaw,Egypt 003,U.S. Senate,,Priscilla W. Till,DEM,0
Chickasaw,Egypt 003,U.S. Senate,,Scott Colom,DEM,107
Chickasaw,Egypt 003,U.S. Senate,,Cindy Hyde-Smith,REP,32
Chickasaw,Egypt 003,U.S. Senate,,Sarah Adlakha,REP,2
Chickasaw,North Houlka 005,U.S. House,1,Cliff Johnson,DEM,35
Chickasaw,North Houlka 005,U.S. House,1,Kelvin Buck,DEM,15
Chickasaw,North Houlka 005,U.S. House,1,Trent Kelly,REP,14
Chickasaw,North Houlka 005,U.S. Senate,,Albert R. Littell,DEM,3
Chickasaw,North Houlka 005,U.S. Senate,,Priscilla W. Till,DEM,2
Chickasaw,North Houlka 005,U.S. Senate,,Scott Colom,DEM,45
Chickasaw,North Houlka 005,U.S. Senate,,Cindy Hyde-Smith,REP,15
Chickasaw,North Houlka 005,U.S. Senate,,Sarah Adlakha,REP,0
Chickasaw,North Okolona 006,U.S. House,1,Cliff Johnson,DEM,66
Chickasaw,North Okolona 006,U.S. House,1,Kelvin Buck,DEM,42
Chickasaw,North Okolona 006,U.S. House,1,Trent Kelly,REP,52
Chickasaw,North Okolona 006,U.S. Senate,,Albert R. Littell,DEM,3
Chickasaw,North Okolona 006,U.S. Senate,,Priscilla W. Till,DEM,5
Chickasaw,North Okolona 006,U.S. Senate,,Scott Colom,DEM,100
Chickasaw,North Okolona 006,U.S. Senate,,Cindy Hyde-Smith,REP,53
Chickasaw,North Okolona 006,U.S. Senate,,Sarah Adlakha,REP,7
Chickasaw,Northwest Houston 007,U.S. House,1,Cliff Johnson,DEM,175
Chickasaw,Northwest Houston 007,U.S. House,1,Kelvin Buck,DEM,58
Chickasaw,Northwest Houston 007,U.S. House,1,Trent Kelly,REP,48
Chickasaw,Northwest Houston 007,U.S. Senate,,Albert R. Littell,DEM,9
Chickasaw,Northwest Houston 007,U.S. Senate,,Priscilla W. Till,DEM,6
Chickasaw,Northwest Houston 007,U.S. Senate,,Scott Colom,DEM,226
Chickasaw,Northwest Houston 007,U.S. Senate,,Cindy Hyde-Smith,REP,41
Chickasaw,Northwest Houston 007,U.S. Senate,,Sarah Adlakha,REP,8
Chickasaw,Pearsall 009,U.S. House,1,Cliff Johnson,DEM,23
Chickasaw,Pearsall 009,U.S. House,1,Kelvin Buck,DEM,24
Chickasaw,Pearsall 009,U.S. House,1,Trent Kelly,REP,57
Chickasaw,Pearsall 009,U.S. Senate,,Albert R. Littell,DEM,3
Chickasaw,Pearsall 009,U.S. Senate,,Priscilla W. Till,DEM,1
Chickasaw,Pearsall 009,U.S. Senate,,Scott Colom,DEM,43
Chickasaw,Pearsall 009,U.S. Senate,,Cindy Hyde-Smith,REP,61
Chickasaw,Pearsall 009,U.S. Senate,,Sarah Adlakha,REP,1
Chickasaw,Pleasant Grove Thom 008,U.S. House,1,Trent Kelly,REP,149
Chickasaw,Pleasant Grove Thom 008,U.S. Senate,,Cindy Hyde-Smith,REP,136
Chickasaw,Pleasant Grove Thom 008,U.S. Senate,,Sarah Adlakha,REP,20
Chickasaw,Pleasant Grove Thorn 008,U.S. House,1,Cliff Johnson,DEM,11
Chickasaw,Pleasant Grove Thorn 008,U.S. House,1,Kelvin Buck,DEM,3
Chickasaw,Pleasant Grove Thorn 008,U.S. Senate,,Albert R. Littell,DEM,1
Chickasaw,Pleasant Grove Thorn 008,U.S. Senate,,Priscilla W. Till,DEM,1
Chickasaw,Pleasant Grove Thorn 008,U.S. Senate,,Scott Colom,DEM,12
Chickasaw,South Houlka 011,U.S. House,1,Cliff Johnson,DEM,23
Chickasaw,South Houlka 011,U.S. House,1,Kelvin Buck,DEM,10
Chickasaw,South Houlka 011,U.S. House,1,Trent Kelly,REP,50
Chickasaw,South Houlka 011,U.S. Senate,,Albert R. Littell,DEM,3
Chickasaw,South Houlka 011,U.S. Senate,,Priscilla W. Till,DEM,1
Chickasaw,South Houlka 011,U.S. Senate,,Scott Colom,DEM,31
Chickasaw,South Houlka 011,U.S. Senate,,Cindy Hyde-Smith,REP,48
Chickasaw,South Houlka 011,U.S. Senate,,Sarah Adlakha,REP,8
Chickasaw,Southeast Houston 010,U.S. House,1,Cliff Johnson,DEM,52
Chickasaw,Southeast Houston 010,U.S. House,1,Kelvin Buck,DEM,23
Chickasaw,Southeast Houston 010,U.S. House,1,Trent Kelly,REP,198
Chickasaw,Southeast Houston 010,U.S. Senate,,Albert R. Littell,DEM,5
Chickasaw,Southeast Houston 010,U.S. Senate,,Priscilla W. Till,DEM,1
Chickasaw,Southeast Houston 010,U.S. Senate,,Scott Colom,DEM,68
Chickasaw,Southeast Houston 010,U.S. Senate,,Cindy Hyde-Smith,REP,183
Chickasaw,Southeast Houston 010,U.S. Senate,,Sarah Adlakha,REP,23
Chickasaw,Sparta 012,U.S. House,1,Cliff Johnson,DEM,12
Chickasaw,Sparta 012,U.S. House,1,Kelvin Buck,DEM,9
Chickasaw,Sparta 012,U.S. House,1,Trent Kelly,REP,36
Chickasaw,Sparta 012,U.S. Senate,,Albert R. Littell,DEM,0
Chickasaw,Sparta 012,U.S. Senate,,Priscilla W. Till,DEM,2
Chickasaw,Sparta 012,U.S. Senate,,Scott Colom,DEM,22
Chickasaw,Sparta 012,U.S. Senate,,Cindy Hyde-Smith,REP,30
Chickasaw,Sparta 012,U.S. Senate,,Sarah Adlakha,REP,6
Chickasaw,Van Vleet 013,U.S. House,1,Cliff Johnson,DEM,18
Chickasaw,Van Vleet 013,U.S. House,1,Kelvin Buck,DEM,22
Chickasaw,Van Vleet 013,U.S. House,1,Trent Kelly,REP,49
Chickasaw,Van Vleet 013,U.S. Senate,,Albert R. Littell,DEM,1
Chickasaw,Van Vleet 013,U.S. Senate,,Priscilla W. Till,DEM,3
Chickasaw,Van Vleet 013,U.S. Senate,,Scott Colom,DEM,37
Chickasaw,Van Vleet 013,U.S. Senate,,Cindy Hyde-Smith,REP,42
Chickasaw,Van Vleet 013,U.S. Senate,,Sarah Adlakha,REP,7
Chickasaw,West Okolona 014,U.S. House,1,Cliff Johnson,DEM,79
Chickasaw,West Okolona 014,U.S. House,1,Kelvin Buck,DEM,89
Chickasaw,West Okolona 014,U.S. House,1,Trent Kelly,REP,57
Chickasaw,West Okolona 014,U.S. Senate,,Albert R. Littell,DEM,9
Chickasaw,West Okolona 014,U.S. Senate,,Priscilla W. Till,DEM,12
Chickasaw,West Okolona 014,U.S. Senate,,Scott Colom,DEM,147
Chickasaw,West Okolona 014,U.S. Senate,,Cindy Hyde-Smith,REP,51
Chickasaw,West Okolona 014,U.S. Senate,,Sarah Adlakha,REP,9
Chickasaw,Woodland 015,U.S. House,1,Cliff Johnson,DEM,28
Chickasaw,Woodland 015,U.S. House,1,Kelvin Buck,DEM,13
Chickasaw,Woodland 015,U.S. House,1,Trent Kelly,REP,36
Chickasaw,Woodland 015,U.S. Senate,,Albert R. Littell,DEM,2
Chickasaw,Woodland 015,U.S. Senate,,Priscilla W. Till,DEM,0
Chickasaw,Woodland 015,U.S. Senate,,Scott Colom,DEM,39
Chickasaw,Woodland 015,U.S. Senate,,Cindy Hyde-Smith,REP,34
Chickasaw,Woodland 015,U.S. Senate,,Sarah Adlakha,REP,4
